일,롱패딩: (대한민국),원피스: (대한민국),여성롱패딩: (대한민국),남자롱패딩: (대한민국),잠옷: (대한민국),롱패딩: (대한민국),여자롱패딩: (대한민국),여성숏패딩: (대한민국),여성패딩: (대한민국),반팔티: (대한민국),롱패딩: (대한민국),숏패딩: (대한민국),트위드자켓: (대한민국),트렌치코트: (대한민국),여성경량패딩: (대한민국),롱패딩: (대한민국),핸드메이드코트: (대한민국),쥬시쥬디: (대한민국),블라우스: (대한민국),나이키바람막이: (대한민국),롱패딩: (대한민국),여성트레이닝세트: (대한민국),바람막이: (대한민국),후드집업: (대한민국),여자트렌치코트: (대한민국),롱패딩: (대한민국),롱원피스: (대한민국),써스데이아일랜드원피스: (대한민국),반바지: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),롱패딩: (대한민국),팬츠: (대한민국),가을원피스: (대한민국),나이키후드티: (대한민국),맨투맨: (대한민국),롱패딩: (대한민국),반팔티: (대한민국),아르마니익스체인지: (대한민국),루시앙: (대한민국),나이키맨투맨: (대한민국),롱패딩: (대한민국),하객원피스: (대한민국),리버클래시정장: (대한민국),dabagirl: (대한민국),후드티: (대한민국),롱패딩: (대한민국),나우포그니플리스: (대한민국),니트원피스: (대한민국),여성가디건: (대한민국),핸드메이드코트: (대한민국),롱패딩: (대한민국),후리스: (대한민국),패딩: (대한민국),여성경량패딩: (대한민국),남자경량패딩: (대한민국),롱패딩: (대한민국),노스페이스패딩: (대한민국),커플잠옷: (대한민국),수면잠옷: (대한민국),남자반팔티: (대한민국),롱패딩: (대한민국),여성린넨자켓: (대한민국),트위드자켓: (대한민국),메종키츠네반팔: (대한민국),여름원피스: (대한민국),롱패딩: (대한민국),라코스테원피스: (대한민국),여성점프수트: (대한민국),강블리gbl남여공용무지반팔7색: (대한민국),남자반바지: (대한민국)
2020-11-01,2,30,0,0,2,19,0,0,0,0,19,9,0,0,0,19,0,0,0,0,19,0,0,37,0,19,0,0,0,0,17,33,0,0,25,19,0,0,0,9,19,9,0,9,37,19,0,0,0,0,6,12,46,0,0,19,9,0,9,0,19,0,0,0,0,19,0,0,0,0
2020-11-02,2,24,1,0,2,25,0,0,8,0,25,0,0,0,0,25,0,0,17,0,25,0,0,17,0,25,0,0,8,0,23,8,0,0,15,25,0,0,0,0,25,0,0,0,17,25,0,0,9,0,8,14,47,0,0,25,8,0,0,0,25,0,0,0,0,25,0,0,0,0
2020-11-03,5,18,0,0,2,59,0,0,0,0,59,34,0,0,0,59,0,0,8,0,59,0,34,34,0,59,0,0,8,0,53,60,0,8,38,59,0,0,0,0,59,0,0,0,17,59,0,0,0,0,19,22,72,0,0,59,8,0,17,0,59,0,0,0,0,59,0,0,0,0
2020-11-04,4,24,0,0,0,46,0,0,0,8,46,46,0,0,0,46,0,0,8,0,46,0,15,15,0,46,0,0,15,0,42,48,0,0,48,46,8,0,0,8,46,0,0,0,15,46,0,0,0,0,15,20,66,0,0,46,8,0,8,0,46,0,0,0,0,46,0,0,0,0
2020-11-05,3,23,0,0,0,32,0,0,0,0,32,16,16,0,0,32,0,0,8,0,32,0,16,24,0,32,0,0,8,0,28,42,0,7,35,32,0,0,0,0,32,0,0,0,32,32,0,0,0,0,10,23,39,0,0,32,0,8,0,0,32,0,16,0,0,32,0,0,0,0
2020-11-06,2,26,0,0,2,17,0,0,0,0,17,26,0,0,0,17,0,0,9,0,17,0,26,9,0,17,0,0,9,0,15,30,0,0,31,17,0,0,0,9,17,0,0,0,60,17,0,0,0,0,6,8,45,0,0,17,0,0,0,0,17,0,0,0,0,17,0,0,0,0
2020-11-07,3,23,0,0,3,30,0,0,30,0,30,49,0,0,0,30,0,0,10,0,30,0,20,20,0,30,10,0,20,0,26,9,0,0,26,30,0,0,0,0,30,0,0,0,59,30,0,10,0,0,10,13,71,0,0,30,10,10,0,0,30,0,0,0,0,30,0,0,0,0
2020-11-08,4,33,0,0,3,47,0,0,9,0,47,28,9,9,0,47,0,9,0,0,47,0,19,0,0,47,9,0,9,0,42,42,8,0,0,47,0,0,0,0,47,0,0,0,38,47,0,9,0,0,15,25,71,0,0,47,19,0,0,0,47,0,9,0,0,47,0,0,0,0
2020-11-09,5,27,0,0,2,60,0,0,0,0,60,34,0,0,0,60,8,0,34,0,60,0,8,25,0,60,0,0,0,0,53,53,0,0,38,60,0,0,0,0,60,0,0,0,17,60,0,0,0,8,19,6,100,0,0,60,17,0,0,0,60,0,0,0,0,60,0,0,0,0
2020-11-10,2,25,0,0,0,17,0,0,9,0,17,17,0,0,0,17,0,0,9,0,17,0,0,8,0,17,0,0,17,0,15,38,0,0,15,17,0,0,0,8,17,0,0,0,34,17,0,0,0,0,6,11,56,0,0,17,9,0,0,0,17,0,0,0,0,17,0,0,0,0
2020-11-11,3,26,0,0,2,34,0,0,9,9,34,26,0,0,0,34,0,0,0,0,34,0,0,9,0,34,9,0,0,0,31,54,0,0,38,34,9,0,0,0,34,0,0,0,17,34,0,0,0,0,11,8,90,0,0,34,17,0,0,0,34,0,0,0,0,34,0,0,0,0
2020-11-12,2,35,0,0,2,25,0,0,8,0,25,51,0,9,0,25,0,0,8,0,25,0,17,17,0,25,0,0,8,0,23,23,0,0,23,25,0,0,0,0,25,0,0,0,25,25,0,0,0,0,8,8,44,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0
2020-11-13,4,55,0,0,1,45,0,0,9,0,45,36,0,9,0,45,9,9,0,0,45,0,9,18,0,45,0,0,18,0,40,40,0,0,16,45,0,0,0,18,45,0,0,0,18,45,0,0,0,9,15,15,44,0,0,45,0,0,0,0,45,0,0,0,9,45,0,0,0,0
2020-11-14,2,34,0,0,3,21,0,0,0,10,21,10,0,10,0,21,10,0,0,0,21,0,10,10,0,21,0,0,10,0,18,74,0,0,18,21,10,0,0,10,21,0,0,0,10,21,0,0,0,10,7,10,61,0,0,21,10,0,0,0,21,0,0,0,0,21,0,0,0,0
2020-11-15,1,33,0,0,3,10,0,0,0,19,10,57,0,10,0,10,10,0,19,0,10,0,19,10,0,10,0,0,0,0,9,26,0,9,34,10,19,0,0,0,10,0,0,0,48,10,0,0,0,10,3,12,53,0,0,10,10,0,0,0,10,0,0,0,0,10,0,0,0,0
2020-11-16,1,20,0,0,2,17,0,0,0,0,17,17,0,0,0,17,0,0,0,0,17,0,25,8,8,17,0,0,0,0,15,52,0,0,22,17,0,0,0,0,17,0,0,0,25,17,0,0,0,0,5,5,32,0,0,17,0,0,8,0,17,0,0,0,0,17,0,0,0,0
2020-11-17,2,17,0,0,1,25,0,0,8,8,25,33,0,16,0,25,0,0,8,0,25,0,0,8,0,25,0,0,8,0,22,22,0,0,7,25,8,0,0,0,25,0,0,0,57,25,0,8,0,0,8,5,43,0,0,25,0,0,0,0,25,0,0,0,0,25,0,0,0,0
2020-11-18,1,25,0,0,3,16,0,0,0,0,16,8,0,0,0,16,0,0,16,0,16,0,0,16,0,16,0,0,8,0,15,22,0,0,7,16,0,0,0,8,16,0,0,0,8,16,0,8,0,0,5,5,24,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,0,0
2020-11-19,2,34,0,0,1,25,0,0,8,0,25,0,8,17,0,25,0,0,0,0,25,0,8,8,8,25,0,0,0,0,22,52,0,7,30,25,0,0,0,0,25,0,0,0,25,25,0,8,0,0,8,16,38,0,0,25,0,0,0,0,25,0,8,0,0,25,0,0,0,0
