일,롱패딩,원피스,여성롱패딩,남자롱패딩,잠옷,롱패딩,여자롱패딩,여성숏패딩,여성패딩,반팔티,롱패딩,숏패딩,트위드자켓,트렌치코트,여성경량패딩,롱패딩,핸드메이드코트,쥬시쥬디,블라우스,나이키바람막이,롱패딩,여성트레이닝세트,바람막이,후드집업,여자트렌치코트,롱패딩,롱원피스,써스데이아일랜드원피스,반바지,강블리gbl남여공용무지반팔7색,롱패딩,팬츠,가을원피스,나이키후드티,맨투맨,롱패딩,반팔티,아르마니익스체인지,루시앙,나이키맨투맨,롱패딩,하객원피스,리버클래시정장,dabagirl,후드티,롱패딩,나우포그니플리스,니트원피스,여성가디건,핸드메이드코트,롱패딩,후리스,패딩,여성경량패딩,남자경량패딩,롱패딩,노스페이스패딩,커플잠옷,수면잠옷,남자반팔티,롱패딩,여성린넨자켓,트위드자켓,메종키츠네반팔,여름원피스,롱패딩,라코스테원피스,여성점프수트,강블리gbl남여공용무지반팔7색,남자반바지
2020-11-01,27,29,9,2,12,27,1,12,13,1,27,21,6,7,20,27,32,7,5,4,27,1,5,16,0,27,4,4,1,0,27,1,5,6,8,27,1,0,0,8,27,2,0,0,17,27,0,15,6,32,27,38,30,20,4,27,24,3,8,0,27,0,6,0,1,27,1,0,0,0
2020-11-02,31,25,11,1,8,31,1,14,13,1,31,21,7,8,22,31,11,7,4,5,31,1,4,16,0,31,11,4,1,0,31,1,4,4,8,31,1,0,0,5,31,3,0,0,14,31,0,13,7,11,31,36,40,22,4,31,27,2,8,0,31,0,7,0,1,31,1,0,0,0
2020-11-03,57,20,16,3,11,57,1,21,22,1,57,44,6,6,27,57,9,7,4,4,57,0,12,19,0,57,5,4,1,0,57,1,3,5,7,57,1,1,0,5,57,3,0,0,14,57,0,12,5,9,57,58,64,27,7,57,37,1,9,0,57,0,6,0,1,57,1,0,0,0
2020-11-04,76,20,18,2,11,76,2,25,26,0,76,62,6,5,29,76,11,7,6,3,76,0,6,17,0,76,5,4,1,0,76,1,2,5,6,76,0,1,0,4,76,3,0,0,16,76,0,13,4,11,76,57,65,29,6,76,40,3,11,0,76,0,6,0,1,76,1,0,0,0
2020-11-05,58,18,16,4,10,58,2,21,22,0,58,46,11,3,25,58,12,7,3,3,58,0,5,13,0,58,4,4,1,0,58,1,2,3,7,58,0,0,0,4,58,2,0,0,14,58,0,13,4,12,58,51,50,25,5,58,38,2,11,0,58,0,11,0,1,58,1,0,0,0
2020-11-06,38,17,12,2,9,38,2,18,17,1,38,37,6,3,18,38,12,9,3,3,38,0,5,11,0,38,4,3,1,0,38,1,2,4,6,38,1,1,0,3,38,2,0,0,13,38,0,11,4,12,38,34,43,18,4,38,31,3,9,0,38,0,6,0,1,38,1,0,0,0
2020-11-07,29,23,7,2,8,29,1,16,12,0,29,38,4,4,17,29,11,7,3,4,29,0,4,11,0,29,4,4,1,0,29,1,2,4,6,29,0,1,0,5,29,3,0,0,14,29,0,13,3,11,29,37,34,17,3,29,27,2,6,0,29,0,4,0,1,29,1,0,0,0
2020-11-08,35,25,10,2,11,35,2,16,15,0,35,40,5,4,19,35,11,6,4,3,35,1,4,12,0,35,6,3,1,0,35,1,3,5,8,35,0,1,0,7,35,2,0,0,16,35,0,13,3,11,35,36,38,19,4,35,33,3,8,0,35,0,5,0,1,35,1,0,0,0
2020-11-09,55,22,16,4,10,55,2,20,20,0,55,53,5,3,25,55,13,6,6,4,55,1,5,12,0,55,4,3,1,0,55,1,2,5,7,55,0,0,1,5,55,3,0,0,16,55,0,13,4,13,55,48,49,25,34,55,38,3,11,0,55,0,5,0,0,55,1,0,0,0
2020-11-10,45,19,13,4,11,45,2,20,16,1,45,47,5,5,19,45,11,8,3,3,45,1,5,11,0,45,4,4,1,0,45,1,2,4,6,45,1,1,0,4,45,15,0,0,14,45,0,12,4,11,45,34,40,19,4,45,37,3,8,0,45,0,5,0,1,45,1,0,0,0
