날짜,마스크,족욕기,kf94마스크,다이어리,각티슈,스타벅스플레이모빌,택배박스,스타벅스텀블러,스노우체인,kf94마스크새부리형,체중계,해피콜,거치대,와플팬,비데,차량용핸드폰거치대,마스크스트랩,마스크필터,덴탈마스크,마사지건,푸름웰니스에어핏,피코스킨국산덴탈비말차단마스크,도그독리본독,도그독차량용방향제,푸름웰니스kf94마스크,푸름웰니스에어핏마스크,캠핑의자,피코스킨국산덴탈비말차단마스크kf-ad,오징어게임옷,달고나세트,차량용방향제,달고나만들기세트,ququ마스크,ququkf94마스크,피코스킨국산덴탈비말차단마,할로윈코스튬,크리스마스트리,발마사지기,두루마리휴지,2021다이어리,식기세척기세제,팝잇,강아지사료,디씨네트워크15wfod고속차량용무선충전거치대 ,키친타올,텀블러,차량용무선충전거치대,hayata미백치약,지피강블리아띠즈주방세제펌프형500ml레몬향
2020-11-01,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291,4.08427,23.87133,7.72692,17.87291
2020-11-02,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408,4.29945,24.56189,8.95614,14.80408
2020-11-03,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459,4.53292,25.60265,9.02224,13.1459
2020-11-04,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614,4.56386,24.96413,9.20227,12.58614
2020-11-05,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285,3.96753,26.31571,9.42589,12.52285
2020-11-06,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266,3.99144,21.57323,9.30634,12.26266
2020-11-07,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591,3.79736,16.7548,8.09963,13.23591
2020-11-08,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152,4.3093,22.3102,9.11226,16.78152
2020-11-09,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971,5.06877,25.06258,10.22756,13.62971
2020-11-10,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262,3.80017,25.74611,9.60591,13.17262
