날짜,지점,강수량
2020-11-01,99,4.2
2020-11-02,99,0.2
2020-11-03,99,
2020-11-04,99,
2020-11-05,99,
2020-11-06,99,
2020-11-07,99,
2020-11-08,99,
2020-11-09,99,
2020-11-10,99,
2020-11-11,99,
2020-11-12,99,
2020-11-13,99,
2020-11-14,99,
2020-11-15,99,
2020-11-16,99,
2020-11-17,99,0.4
2020-11-18,99,16.5
2020-11-19,99,40
2020-11-20,99,
2020-11-21,99,0.7
2020-11-22,99,2.2
2020-11-23,99,
2020-11-24,99,
2020-11-25,99,
2020-11-26,99,
2020-11-27,99,
2020-11-28,99,
2020-11-29,99,
2020-11-30,99,
2020-12-01,99,
2020-12-02,99,
2020-12-03,99,
2020-12-04,99,
2020-12-05,99,
2020-12-06,99,
2020-12-07,99,
2020-12-08,99,
2020-12-09,99,
2020-12-10,99,0.1
2020-12-11,99,
2020-12-12,99,
2020-12-13,99,4.8
2020-12-14,99,
2020-12-15,99,
2020-12-16,99,
2020-12-17,99,
2020-12-18,99,0.1
2020-12-19,99,
2020-12-20,99,
2020-12-21,99,
2020-12-22,99,
2020-12-23,99,
2020-12-24,99,
2020-12-25,99,
2020-12-26,99,
2020-12-27,99,0.6
2020-12-28,99,0
2020-12-29,99,0.1
2020-12-30,99,
2020-12-31,99,
2021-01-01,99,
2021-01-02,99,
2021-01-03,99,
2021-01-04,99,0.4
2021-01-05,99,0
2021-01-06,99,0.8
2021-01-07,99,
2021-01-08,99,
2021-01-09,99,
2021-01-10,99,
2021-01-11,99,0
2021-01-12,99,1.4
2021-01-13,99,
2021-01-14,99,
2021-01-15,99,0.4
2021-01-16,99,
2021-01-17,99,
2021-01-18,99,0.8
2021-01-19,99,
2021-01-20,99,
2021-01-21,99,4.9
2021-01-22,99,
2021-01-23,99,
2021-01-24,99,
2021-01-25,99,
2021-01-26,99,0.8
2021-01-27,99,
2021-01-28,99,3.4
2021-01-29,99,
2021-01-30,99,
2021-01-31,99,
2021-02-01,99,1.3
2021-02-02,99,0.1
2021-02-03,99,7.5
2021-02-04,99,
2021-02-05,99,
2021-02-06,99,
2021-02-07,99,
2021-02-08,99,
2021-02-09,99,
2021-02-10,99,
2021-02-11,99,
2021-02-12,99,
2021-02-13,99,
2021-02-14,99,
2021-02-15,99,1.1
2021-02-16,99,
2021-02-17,99,
2021-02-18,99,
2021-02-19,99,
2021-02-20,99,
2021-02-21,99,
2021-02-22,99,
2021-02-23,99,
2021-02-24,99,
2021-02-25,99,
2021-02-26,99,
2021-02-27,99,
2021-02-28,99,
2021-03-01,99,64.8
2021-03-02,99,
2021-03-03,99,
2021-03-04,99,
2021-03-05,99,
2021-03-06,99,
2021-03-07,99,
2021-03-08,99,
2021-03-09,99,
2021-03-10,99,
2021-03-11,99,
2021-03-12,99,0.1
2021-03-13,99,
2021-03-14,99,
2021-03-15,99,1.1
2021-03-16,99,0
2021-03-17,99,
2021-03-18,99,
2021-03-19,99,
2021-03-20,99,6
2021-03-21,99,
2021-03-22,99,
2021-03-23,99,
2021-03-24,99,
2021-03-25,99,
2021-03-26,99,
2021-03-27,99,28.3
2021-03-28,99,12
2021-03-29,99,0.1
2021-03-30,99,
2021-03-31,99,
2021-04-01,99,
2021-04-02,99,
2021-04-03,99,48.5
2021-04-04,99,0.2
2021-04-05,99,
2021-04-06,99,
2021-04-07,99,
2021-04-08,99,
2021-04-09,99,
2021-04-10,99,
2021-04-11,99,
2021-04-12,99,30.7
2021-04-13,99,4.2
2021-04-14,99,
2021-04-15,99,
2021-04-16,99,0.6
2021-04-17,99,0.3
2021-04-18,99,
2021-04-19,99,
2021-04-20,99,
2021-04-21,99,
2021-04-22,99,0
2021-04-23,99,0
2021-04-24,99,
2021-04-25,99,
2021-04-26,99,
2021-04-27,99,7.5
2021-04-28,99,0
2021-04-29,99,0.7
2021-04-30,99,13.7
2021-05-01,99,2.5
2021-05-02,99,0.3
2021-05-03,99,
2021-05-04,99,40.9
2021-05-05,99,0
2021-05-06,99,
2021-05-07,99,7.5
2021-05-08,99,
2021-05-09,99,
2021-05-10,99,
2021-05-11,99,
2021-05-12,99,
2021-05-13,99,
2021-05-14,99,
2021-05-15,99,18.1
2021-05-16,99,100
2021-05-17,99,1
2021-05-18,99,
2021-05-19,99,
2021-05-20,99,2.3
2021-05-21,99,2.3
2021-05-22,99,
2021-05-23,99,
2021-05-24,99,
2021-05-25,99,13.5
2021-05-26,99,1.3
2021-05-27,99,16.6
2021-05-28,99,19.7
2021-05-29,99,2.5
2021-05-30,99,9.6
2021-05-31,99,4.9
2021-06-01,99,3.7
2021-06-02,99,
2021-06-03,99,12.6
2021-06-04,99,
2021-06-05,99,0
2021-06-06,99,
2021-06-07,99,0
2021-06-08,99,0.1
2021-06-09,99,
2021-06-10,99,14.3
2021-06-11,99,4.7
2021-06-12,99,
2021-06-13,99,
2021-06-14,99,
2021-06-15,99,4
2021-06-16,99,
2021-06-17,99,0
2021-06-18,99,6.2
2021-06-19,99,
2021-06-20,99,
2021-06-21,99,0
2021-06-22,99,0.8
2021-06-23,99,
2021-06-24,99,
2021-06-25,99,
2021-06-26,99,3.6
2021-06-27,99,
2021-06-28,99,0.4
2021-06-29,99,
2021-06-30,99,0
2021-07-01,99,
2021-07-02,99,0.1
2021-07-03,99,46.2
2021-07-04,99,20.8
2021-07-05,99,0
2021-07-06,99,
2021-07-07,99,
2021-07-08,99,0.1
2021-07-09,99,
2021-07-10,99,3.1
2021-07-11,99,0
2021-07-12,99,
2021-07-13,99,
2021-07-14,99,
2021-07-15,99,
2021-07-16,99,1.1
2021-07-17,99,11.5
2021-07-18,99,2.9
2021-07-19,99,6.7
2021-07-20,99,
2021-07-21,99,
2021-07-22,99,
2021-07-23,99,
2021-07-24,99,
2021-07-25,99,
2021-07-26,99,
2021-07-27,99,
2021-07-28,99,
2021-07-29,99,
2021-07-30,99,
2021-07-31,99,1.1
2021-08-01,99,6.5
2021-08-02,99,6.2
2021-08-03,99,
2021-08-04,99,0.1
2021-08-05,99,
2021-08-06,99,
2021-08-07,99,
2021-08-08,99,4.7
2021-08-09,99,
2021-08-10,99,
2021-08-11,99,
2021-08-12,99,
2021-08-13,99,
2021-08-14,99,
2021-08-15,99,
2021-08-16,99,0
2021-08-17,99,8.9
2021-08-18,99,2.6
2021-08-19,99,
2021-08-20,99,0.2
2021-08-21,99,72.5
2021-08-22,99,0.4
2021-08-23,99,7.9
2021-08-24,99,17.2
2021-08-25,99,22.7
2021-08-26,99,0
2021-08-27,99,1.4
2021-08-28,99,
2021-08-29,99,1.4
2021-08-30,99,
2021-08-31,99,30.6
2021-09-01,99,1.3
2021-09-02,99,
2021-09-03,99,
2021-09-04,99,
2021-09-05,99,
2021-09-06,99,3.7
2021-09-07,99,23.5
2021-09-08,99,
2021-09-09,99,
2021-09-10,99,
2021-09-11,99,
2021-09-12,99,
2021-09-13,99,
2021-09-14,99,
2021-09-15,99,
2021-09-16,99,
2021-09-17,99,
2021-09-18,99,
2021-09-19,99,
2021-09-20,99,
2021-09-21,99,47.2
2021-09-22,99,3.8
2021-09-23,99,
2021-09-24,99,
2021-09-25,99,
2021-09-26,99,
2021-09-27,99,0
2021-09-28,99,2.9
2021-09-29,99,11.1
2021-09-30,99,
2021-10-01,99,1.2
2021-10-02,99,
2021-10-03,99,
2021-10-04,99,42.5
2021-10-05,99,1.4
2021-10-06,99,5.2
2021-10-07,99,5.2
2021-10-08,99,0.6
2021-10-09,99,0
2021-10-10,99,15.1
2021-10-11,99,1.9
2021-10-12,99,
2021-10-13,99,
2021-10-14,99,
2021-10-15,99,1.5
2021-10-16,99,0
2021-10-17,99,
2021-10-18,99,3.5
2021-10-19,99,0
2021-10-20,99,
2021-10-21,99,
2021-10-22,99,
2021-10-23,99,
2021-10-24,99,
2021-10-25,99,
2021-10-26,99,
2021-10-27,99,
2021-10-28,99,
2021-10-29,99,
2021-10-30,99,
2021-10-31,99,1.3
