날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,263,11.9,6.5,14.9
2020-11-02,263,11.8,4.2,19.3
2020-11-03,263,6.5,0.5,13.4
2020-11-04,263,4.2,-2.2,15
2020-11-05,263,7.2,-2.8,17.5
2020-11-06,263,10.9,7,14.6
2020-11-07,263,14.3,9.2,23.3
2020-11-08,263,10.5,3.6,20.3
2020-11-09,263,6.1,-1.2,15
2020-11-10,263,7.1,0.5,17.2
2020-11-11,263,6.3,-1.4,17
2020-11-12,263,7.8,-0.3,19.1
2020-11-13,263,8.8,-0.1,20.4
2020-11-14,263,9.8,2.1,20.2
2020-11-15,263,9.3,2.4,19.6
2020-11-16,263,10.7,2.1,21.7
2020-11-17,263,15.6,9.2,22
2020-11-18,263,18.1,12.8,24.3
2020-11-19,263,19.8,13.6,23.9
2020-11-20,263,10.8,4.3,14.7
2020-11-21,263,8.7,0.6,15.4
2020-11-22,263,9.8,7.3,12.2
2020-11-23,263,5.6,0.4,13.1
2020-11-24,263,5.1,-0.2,13.7
2020-11-25,263,6.6,0.4,15.3
2020-11-26,263,7,1.9,14.1
2020-11-27,263,7.3,1.6,14.1
2020-11-28,263,3.5,-1.9,9.7
2020-11-29,263,2.9,-3.6,11.5
2020-11-30,263,2,-4.3,11.2
2020-12-01,263,1.9,-5.3,11.8
2020-12-02,263,2.7,-2.6,11.9
2020-12-03,263,2.9,-3.7,10.7
2020-12-04,263,1.3,-4.8,9.9
2020-12-05,263,1.6,-5.5,11.2
2020-12-06,263,2.5,-4.1,11.9
2020-12-07,263,,-3.7,12.6
2020-12-08,263,1.1,-3.7,9.9
2020-12-09,263,0.6,-6.7,11.4
2020-12-10,263,3.7,-2.1,12.9
2020-12-11,263,5.1,-2,13.6
2020-12-12,263,4.2,-2.6,12.3
2020-12-13,263,3.3,-4.6,12.8
2020-12-14,263,-1.3,-7.4,2.6
2020-12-15,263,-4.8,-10.5,2.7
2020-12-16,263,-3.8,-10.6,3.9
2020-12-17,263,-3.6,-11.3,6.9
2020-12-18,263,0.3,-7.8,8.8
2020-12-19,263,-0.5,-6.2,6.5
2020-12-20,263,-1.1,-6.4,8.6
2020-12-21,263,-1.9,-8.8,8.4
2020-12-22,263,0,-7.3,9.9
2020-12-23,263,0.4,-6.6,10
2020-12-24,263,,-1.9,13.9
2020-12-25,263,0.9,-4.8,9
2020-12-26,263,1.3,-6.2,12.2
2020-12-27,263,3.4,-0.8,7.7
2020-12-28,263,3.8,-0.1,13
2020-12-29,263,3.7,-0.2,11.2
2020-12-30,263,-3.3,-8.6,1.7
2020-12-31,263,-3.4,-10.8,4.1
2021-01-01,263,-2.4,-8.9,4.5
2021-01-02,263,-1,-6.6,5.8
2021-01-03,263,-2,-7.2,5.2
2021-01-04,263,-1.7,-8.5,7.6
2021-01-05,263,-0.4,-5.4,6.7
2021-01-06,263,-3.3,-10.6,3.6
2021-01-07,263,-6.8,-13.5,-0.8
2021-01-08,263,-9.6,-16.3,-1.5
2021-01-09,263,-7.8,-15.5,1.6
2021-01-10,263,-5,-13.7,3.6
2021-01-11,263,-3.7,-8,1.1
2021-01-12,263,-3,-10.8,6.9
2021-01-13,263,2.1,-7.4,12.5
2021-01-14,263,3.1,-4.6,15.2
2021-01-15,263,8.7,-1.7,17.4
2021-01-16,263,3.4,-1.7,9.8
2021-01-17,263,-1.2,-5.7,4.4
2021-01-18,263,-0.8,-7.8,4.6
2021-01-19,263,-2.2,-9.2,6.2
2021-01-20,263,-0.9,-9.5,11
2021-01-21,263,4.2,-5.6,14.1
2021-01-22,263,8.1,5.9,10.5
2021-01-23,263,9.8,7.6,12.4
2021-01-24,263,8.8,4.8,12.2
2021-01-25,263,7.6,0.3,15.7
2021-01-26,263,4.9,2.4,7.8
2021-01-27,263,4.2,-1.5,12.2
2021-01-28,263,1.7,-2.8,13.4
2021-01-29,263,-2.3,-6.3,4.3
2021-01-30,263,0.9,-8.8,11.6
2021-01-31,263,3.9,-5.7,14.5
2021-02-01,263,7.8,4.9,11.4
2021-02-02,263,1.6,-2.8,7.7
2021-02-03,263,-0.2,-6.1,6.9
2021-02-04,263,2.7,-4,11.1
2021-02-05,263,1.2,-7.3,9.7
2021-02-06,263,4.7,-5,16.6
2021-02-07,263,7.1,-1.1,17.3
2021-02-08,263,1.5,-5.1,8.4
2021-02-09,263,-0.4,-8.8,10
2021-02-10,263,2,-7.3,14.4
2021-02-11,263,4.1,-3.3,12.3
2021-02-12,263,5.8,-0.4,17.2
2021-02-13,263,7.1,-3,20.5
2021-02-14,263,8.7,1.6,14.5
2021-02-15,263,6.3,-0.8,12.3
2021-02-16,263,1.9,-5.6,10
2021-02-17,263,-2.9,-5.6,0.9
2021-02-18,263,-1.8,-7.6,4.5
2021-02-19,263,2.5,-8.9,14.1
2021-02-20,263,10.3,0.3,21.4
2021-02-21,263,14.6,2.5,24.6
2021-02-22,263,14.7,6.7,24.1
2021-02-23,263,5,-0.9,13.8
2021-02-24,263,3.9,-2.8,13.5
2021-02-25,263,5.2,-0.7,9.8
2021-02-26,263,9.1,5.6,14.9
2021-02-27,263,7.9,3.4,13.4
2021-02-28,263,7.4,0.9,12.8
2021-03-01,263,11.8,7.2,17.3
2021-03-02,263,4.5,-0.7,9.2
2021-03-03,263,3.9,-3.1,12.1
2021-03-04,263,5.8,0.5,10.8
2021-03-05,263,10.8,3,20.7
2021-03-06,263,7.1,1.9,13.8
2021-03-07,263,6.8,2.4,11.4
2021-03-08,263,7.4,-1.2,16.1
2021-03-09,263,9.5,3.4,16.8
2021-03-10,263,8.8,-0.2,18.9
2021-03-11,263,9.5,0.4,18.9
2021-03-12,263,9.4,8.9,10.6
2021-03-13,263,9.7,1.6,17.5
2021-03-14,263,9,1.4,17.6
2021-03-15,263,11,1.3,17.8
2021-03-16,263,14.6,4.8,23.4
2021-03-17,263,9.7,0.1,20.1
2021-03-18,263,11,2.4,20.3
2021-03-19,263,12.9,6.1,20.8
2021-03-20,263,10.2,8.4,11.5
2021-03-21,263,9.1,4.3,13.9
2021-03-22,263,8,0.7,13.7
2021-03-23,263,8.9,-1.9,19.5
2021-03-24,263,10.6,0.8,19.4
2021-03-25,263,13.1,2.5,23.3
2021-03-26,263,13.5,3.6,25
2021-03-27,263,11.5,3.6,16.8
2021-03-28,263,15.9,8.7,21
2021-03-29,263,13.7,7.4,21
2021-03-30,263,12.9,5.5,22.2
2021-03-31,263,12.6,2.4,23.2
2021-04-01,263,14,4.2,21.5
2021-04-02,263,17.4,12.5,23.8
2021-04-03,263,15.9,14.7,18
2021-04-04,263,12.5,8.8,17.6
2021-04-05,263,10.1,3.7,17.9
2021-04-06,263,10.6,0.8,21.6
2021-04-07,263,13.8,2.7,24.1
2021-04-08,263,13.2,5.4,23.1
2021-04-09,263,10.3,3.7,20
2021-04-10,263,9.7,1.1,18.9
2021-04-11,263,11.7,1.6,22.2
2021-04-12,263,11.9,7.8,15.7
2021-04-13,263,14.5,6.2,20
2021-04-14,263,10,3.7,18.4
2021-04-15,263,9.6,0,19.1
2021-04-16,263,12.8,2.1,21.5
2021-04-17,263,13.2,6.9,20.4
2021-04-18,263,12.4,5.2,20
2021-04-19,263,13.6,0.8,24.7
2021-04-20,263,15.4,3.4,26.8
2021-04-21,263,17.6,6.4,28
2021-04-22,263,19.2,12.4,27.1
2021-04-23,263,17.9,14.1,24.1
2021-04-24,263,17.5,8.7,25.8
2021-04-25,263,16.5,9.6,24.1
2021-04-26,263,13,4.5,22
2021-04-27,263,13.6,4.8,20.3
2021-04-28,263,17.8,8.9,26
2021-04-29,263,17.1,10.7,25.4
2021-04-30,263,17.6,13.8,23.3
2021-05-01,263,12,9.7,16.1
2021-05-02,263,13.5,7.5,20.8
2021-05-03,263,14.3,4.3,23.3
2021-05-04,263,16.2,10.1,20.3
2021-05-05,263,17.7,8.4,23.9
2021-05-06,263,14.2,3.2,23
2021-05-07,263,17,10.3,24.6
2021-05-08,263,16,4.2,24.1
2021-05-09,263,18.1,8.4,26.6
2021-05-10,263,15.9,11.2,20.4
2021-05-11,263,16.2,11.7,20.6
2021-05-12,263,19.3,14,26.2
2021-05-13,263,20.8,11.8,30.4
2021-05-14,263,21.9,14.1,30.1
2021-05-15,263,20.7,17.8,22.9
2021-05-16,263,22.3,20.8,23.9
2021-05-17,263,19,16.7,22.1
2021-05-18,263,18.6,16.1,22.8
2021-05-19,263,21.6,15,29.6
2021-05-20,263,16.6,16,17.6
2021-05-21,263,18.7,15.5,23.1
2021-05-22,263,20.4,11.7,29.5
2021-05-23,263,22.3,12.9,30.5
2021-05-24,263,21.8,16.3,29.4
2021-05-25,263,17.7,11.3,25.7
2021-05-26,263,17.8,10.7,25
2021-05-27,263,18.2,14,25.8
2021-05-28,263,17.5,8.9,26.4
2021-05-29,263,20.3,14.1,27.1
2021-05-30,263,19.9,11.8,27.9
2021-05-31,263,20.6,14.4,29.6
2021-06-01,263,21.5,12.5,30
2021-06-02,263,22,15.8,29.7
2021-06-03,263,18.9,16.2,20.5
2021-06-04,263,21.4,15.9,28.1
2021-06-05,263,20.8,11.3,28.5
2021-06-06,263,22.9,16.3,30
2021-06-07,263,24.2,16,31.4
2021-06-08,263,25.1,18.1,33.4
2021-06-09,263,24.1,16.6,32.4
2021-06-10,263,23.2,15.7,28.9
2021-06-11,263,22.1,20.5,24.2
2021-06-12,263,23.6,21.4,27.1
2021-06-13,263,25.8,21.8,31.7
2021-06-14,263,23.8,20.5,28.5
2021-06-15,263,21.6,19.8,24.3
2021-06-16,263,21.7,19.3,24.1
2021-06-17,263,22.4,19.5,26.6
2021-06-18,263,22.2,19.5,25.8
2021-06-19,263,24.1,17.3,31.4
2021-06-20,263,24.4,17.5,31.7
2021-06-21,263,24.4,17.5,32.5
2021-06-22,263,22.8,17.4,29.3
2021-06-23,263,21.5,19.6,26.5
2021-06-24,263,22.9,19.4,28.7
2021-06-25,263,23.7,17.4,30.2
2021-06-26,263,23.4,19.4,29.5
2021-06-27,263,24.4,17.5,31.6
2021-06-28,263,25.3,20.9,30.7
2021-06-29,263,24.2,18.9,31.2
2021-06-30,263,24.5,20.3,30.9
2021-07-01,263,26.1,19.4,32.5
2021-07-02,263,25.6,20.5,31.7
2021-07-03,263,22.8,20.6,25.6
2021-07-04,263,26.5,23.6,29.9
2021-07-05,263,23,21.5,24.9
2021-07-06,263,23,21.7,25
2021-07-07,263,25.3,22.9,28.4
2021-07-08,263,26,22.8,30.5
2021-07-09,263,24.7,22.1,30.7
2021-07-10,263,26.6,22.3,30.9
2021-07-11,263,27.5,23.4,32.6
2021-07-12,263,28.3,23.4,34.5
2021-07-13,263,28.5,23.6,33.6
2021-07-14,263,28.8,24.2,33.9
2021-07-15,263,27.6,23.6,33.5
2021-07-16,263,26.7,22.7,33.3
2021-07-17,263,25.9,22,31.2
2021-07-18,263,26.2,21.9,32.3
2021-07-19,263,26.8,23.2,31.4
2021-07-20,263,28,24.1,32.9
