날짜,지점,강수량
2020-11-01,263,0.2
2020-11-02,263,3
2020-11-03,263,
2020-11-04,263,
2020-11-05,263,
2020-11-06,263,0.1
2020-11-07,263,
2020-11-08,263,
2020-11-09,263,
2020-11-10,263,
2020-11-11,263,
2020-11-12,263,
2020-11-13,263,
2020-11-14,263,
2020-11-15,263,
2020-11-16,263,
2020-11-17,263,0.5
2020-11-18,263,1.5
2020-11-19,263,19
2020-11-20,263,
2020-11-21,263,
2020-11-22,263,0.5
2020-11-23,263,
2020-11-24,263,
2020-11-25,263,
2020-11-26,263,
2020-11-27,263,
2020-11-28,263,
2020-11-29,263,
2020-11-30,263,
2020-12-01,263,
2020-12-02,263,
2020-12-03,263,
2020-12-04,263,
2020-12-05,263,
2020-12-06,263,
2020-12-07,263,
2020-12-08,263,
2020-12-09,263,
2020-12-10,263,
2020-12-11,263,
2020-12-12,263,
2020-12-13,263,0
2020-12-14,263,
2020-12-15,263,
2020-12-16,263,
2020-12-17,263,
2020-12-18,263,
2020-12-19,263,
2020-12-20,263,
2020-12-21,263,
2020-12-22,263,
2020-12-23,263,
2020-12-24,263,
2020-12-25,263,
2020-12-26,263,
2020-12-27,263,4.2
2020-12-28,263,
2020-12-29,263,5
2020-12-30,263,0
2020-12-31,263,
2021-01-01,263,
2021-01-02,263,
2021-01-03,263,
2021-01-04,263,
2021-01-05,263,
2021-01-06,263,
2021-01-07,263,0.3
2021-01-08,263,
2021-01-09,263,
2021-01-10,263,
2021-01-11,263,
2021-01-12,263,
2021-01-13,263,
2021-01-14,263,
2021-01-15,263,
2021-01-16,263,
2021-01-17,263,
2021-01-18,263,0.3
2021-01-19,263,
2021-01-20,263,
2021-01-21,263,0.5
2021-01-22,263,0.6
2021-01-23,263,0.8
2021-01-24,263,
2021-01-25,263,
2021-01-26,263,12.1
2021-01-27,263,
2021-01-28,263,
2021-01-29,263,
2021-01-30,263,
2021-01-31,263,0.1
2021-02-01,263,15.1
2021-02-02,263,
2021-02-03,263,
2021-02-04,263,
2021-02-05,263,
2021-02-06,263,
2021-02-07,263,
2021-02-08,263,
2021-02-09,263,
2021-02-10,263,
2021-02-11,263,
2021-02-12,263,
2021-02-13,263,
2021-02-14,263,4.8
2021-02-15,263,0.9
2021-02-16,263,0
2021-02-17,263,
2021-02-18,263,
2021-02-19,263,
2021-02-20,263,
2021-02-21,263,
2021-02-22,263,
2021-02-23,263,
2021-02-24,263,
2021-02-25,263,2.7
2021-02-26,263,1.6
2021-02-27,263,
2021-02-28,263,0
2021-03-01,263,33.6
2021-03-02,263,6.8
2021-03-03,263,
2021-03-04,263,3.7
2021-03-05,263,
2021-03-06,263,
2021-03-07,263,
2021-03-08,263,
2021-03-09,263,
2021-03-10,263,
2021-03-11,263,
2021-03-12,263,17.6
2021-03-13,263,
2021-03-14,263,
2021-03-15,263,
2021-03-16,263,1
2021-03-17,263,
2021-03-18,263,
2021-03-19,263,
2021-03-20,263,9.4
2021-03-21,263,
2021-03-22,263,
2021-03-23,263,
2021-03-24,263,
2021-03-25,263,
2021-03-26,263,
2021-03-27,263,55.1
2021-03-28,263,5
2021-03-29,263,
2021-03-30,263,
