날짜,지점,강수량
2020-11-01,278,2.3
2020-11-02,278,
2020-11-03,278,
2020-11-04,278,
2020-11-05,278,
2020-11-06,278,0
2020-11-07,278,
2020-11-08,278,
2020-11-09,278,
2020-11-10,278,
2020-11-11,278,
2020-11-12,278,
2020-11-13,278,
2020-11-14,278,
2020-11-15,278,
2020-11-16,278,
2020-11-17,278,1.8
2020-11-18,278,1
2020-11-19,278,38.9
2020-11-20,278,
2020-11-21,278,
2020-11-22,278,1.1
2020-11-23,278,
2020-11-24,278,
2020-11-25,278,
2020-11-26,278,
2020-11-27,278,
2020-11-28,278,
2020-11-29,278,
2020-11-30,278,
2020-12-01,278,
2020-12-02,278,
2020-12-03,278,
2020-12-04,278,
2020-12-05,278,
2020-12-06,278,
2020-12-07,278,
2020-12-08,278,
2020-12-09,278,
2020-12-10,278,
2020-12-11,278,
2020-12-12,278,
2020-12-13,278,0.2
2020-12-14,278,
2020-12-15,278,
2020-12-16,278,
2020-12-17,278,
2020-12-18,278,
2020-12-19,278,
2020-12-20,278,
2020-12-21,278,
2020-12-22,278,
2020-12-23,278,
2020-12-24,278,
2020-12-25,278,
2020-12-26,278,
2020-12-27,278,
2020-12-28,278,
2020-12-29,278,1.2
2020-12-30,278,
2020-12-31,278,
2021-01-01,278,0.4
2021-01-02,278,0
2021-01-03,278,
2021-01-04,278,
2021-01-05,278,
2021-01-06,278,
2021-01-07,278,1.3
2021-01-08,278,
2021-01-09,278,
2021-01-10,278,
2021-01-11,278,
2021-01-12,278,
2021-01-13,278,
2021-01-14,278,
2021-01-15,278,
2021-01-16,278,
2021-01-17,278,0
2021-01-18,278,0
2021-01-19,278,
2021-01-20,278,
2021-01-21,278,0.6
2021-01-22,278,0.8
2021-01-23,278,0.1
2021-01-24,278,0
2021-01-25,278,
2021-01-26,278,5.1
2021-01-27,278,
2021-01-28,278,0.3
2021-01-29,278,
2021-01-30,278,
2021-01-31,278,
2021-02-01,278,10.2
2021-02-02,278,
2021-02-03,278,
2021-02-04,278,
2021-02-05,278,
2021-02-06,278,
2021-02-07,278,
2021-02-08,278,
2021-02-09,278,
2021-02-10,278,
2021-02-11,278,
2021-02-12,278,
2021-02-13,278,
2021-02-14,278,1.7
2021-02-15,278,1.7
2021-02-16,278,0.5
2021-02-17,278,
2021-02-18,278,
2021-02-19,278,
2021-02-20,278,
2021-02-21,278,
2021-02-22,278,
2021-02-23,278,
2021-02-24,278,
2021-02-25,278,0.2
2021-02-26,278,
2021-02-27,278,
2021-02-28,278,0.3
2021-03-01,278,53.7
2021-03-02,278,4.7
2021-03-03,278,
2021-03-04,278,0.2
2021-03-05,278,
2021-03-06,278,
2021-03-07,278,
2021-03-08,278,
2021-03-09,278,
2021-03-10,278,
2021-03-11,278,
2021-03-12,278,16.8
2021-03-13,278,
2021-03-14,278,
2021-03-15,278,
2021-03-16,278,
2021-03-17,278,
2021-03-18,278,
2021-03-19,278,
2021-03-20,278,3.2
2021-03-21,278,
2021-03-22,278,
2021-03-23,278,
2021-03-24,278,
2021-03-25,278,
2021-03-26,278,
2021-03-27,278,15.7
2021-03-28,278,6.1
2021-03-29,278,
2021-03-30,278,
2021-03-31,278,
2021-04-01,278,
2021-04-02,278,
2021-04-03,278,26.1
2021-04-04,278,24.5
2021-04-05,278,
2021-04-06,278,
2021-04-07,278,
2021-04-08,278,
2021-04-09,278,
2021-04-10,278,
2021-04-11,278,
2021-04-12,278,18.9
2021-04-13,278,0.7
2021-04-14,278,
2021-04-15,278,
2021-04-16,278,
2021-04-17,278,
2021-04-18,278,
2021-04-19,278,
2021-04-20,278,
2021-04-21,278,
2021-04-22,278,
2021-04-23,278,0
2021-04-24,278,
2021-04-25,278,
2021-04-26,278,
2021-04-27,278,
2021-04-28,278,
2021-04-29,278,2
2021-04-30,278,0.2
2021-05-01,278,5.4
2021-05-02,278,1.6
2021-05-03,278,
2021-05-04,278,13.4
2021-05-05,278,1.4
2021-05-06,278,
2021-05-07,278,0.1
2021-05-08,278,
2021-05-09,278,
2021-05-10,278,13.9
2021-05-11,278,3.8
2021-05-12,278,
2021-05-13,278,
2021-05-14,278,
2021-05-15,278,2.7
2021-05-16,278,35.8
2021-05-17,278,12.9
2021-05-18,278,0.3
2021-05-19,278,
2021-05-20,278,9.1
2021-05-21,278,0.8
2021-05-22,278,
2021-05-23,278,
2021-05-24,278,
2021-05-25,278,3
2021-05-26,278,
2021-05-27,278,0.8
2021-05-28,278,11.2
2021-05-29,278,
2021-05-30,278,0.4
2021-05-31,278,4.6
2021-06-01,278,
2021-06-02,278,
2021-06-03,278,24.8
2021-06-04,278,1.3
2021-06-05,278,
2021-06-06,278,0
2021-06-07,278,
2021-06-08,278,
2021-06-09,278,
2021-06-10,278,0.8
2021-06-11,278,11.1
2021-06-12,278,
2021-06-13,278,
2021-06-14,278,
2021-06-15,278,2.5
2021-06-16,278,1.4
2021-06-17,278,0
2021-06-18,278,1.5
2021-06-19,278,
2021-06-20,278,
2021-06-21,278,
2021-06-22,278,1.3
2021-06-23,278,4.1
2021-06-24,278,6.8
2021-06-25,278,2.9
2021-06-26,278,1.9
2021-06-27,278,
2021-06-28,278,
2021-06-29,278,
2021-06-30,278,2.2
2021-07-01,278,
2021-07-02,278,
2021-07-03,278,27.8
2021-07-04,278,9.7
2021-07-05,278,10.4
2021-07-06,278,18.4
