날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,278,10.8,8.3,12.4
2020-11-02,278,10,0.8,17.7
2020-11-03,278,4.7,-2.4,11
2020-11-04,278,1.6,-5.6,12.4
2020-11-05,278,5.4,-5.8,16.5
2020-11-06,278,10,6.7,15.6
2020-11-07,278,10.8,3,21.2
2020-11-08,278,7.7,0.7,17.5
2020-11-09,278,4.3,-5,12.8
2020-11-10,278,4.5,-2.6,14.5
2020-11-11,278,4.7,-3.7,16.6
2020-11-12,278,5.4,-3,18
2020-11-13,278,6.6,-2.1,18.6
2020-11-14,278,8,-0.5,19.7
2020-11-15,278,8.1,0.6,18.7
2020-11-16,278,8.8,1.2,19.9
2020-11-17,278,12,4.2,20.4
2020-11-18,278,16.4,12.1,23
2020-11-19,278,17.3,11.9,23.2
2020-11-20,278,7.2,0.4,11.9
2020-11-21,278,4,-2.4,9.6
2020-11-22,278,7.7,5,11
2020-11-23,278,2.1,-2.9,9.1
2020-11-24,278,2.5,-3.6,10.2
2020-11-25,278,2.4,-4.2,12.9
2020-11-26,278,4.9,-2.3,13.3
2020-11-27,278,5.5,-0.7,10.8
2020-11-28,278,1.4,-4.4,6.8
2020-11-29,278,1.2,-5.2,7.5
2020-11-30,278,-0.8,-6.3,7.8
2020-12-01,278,-1.2,-8,8.6
2020-12-02,278,0.5,-4.7,9.7
2020-12-03,278,0.2,-5.6,8.8
2020-12-04,278,-2.2,-7.8,6.4
2020-12-05,278,-1.6,-8.7,8
2020-12-06,278,-0.2,-7.2,9.9
2020-12-07,278,1.3,-5.9,9
2020-12-08,278,-2.3,-7.5,6.6
2020-12-09,278,-1.9,-10.2,7.8
2020-12-10,278,3.4,-1.2,11.8
2020-12-11,278,3.1,-2.4,10.5
2020-12-12,278,1.5,-4.9,9.3
2020-12-13,278,-1.5,-6.9,4.2
2020-12-14,278,-4.5,-10.9,-0.8
2020-12-15,278,-7.7,-13.4,-1.1
2020-12-16,278,-8.1,-14.4,-0.3
2020-12-17,278,-7.7,-15.9,2.1
2020-12-18,278,-2.5,-10.8,5.1
2020-12-19,278,-5.9,-11.6,2.3
2020-12-20,278,-6.4,-13.5,4.6
2020-12-21,278,-4.4,-12.5,6.3
2020-12-22,278,-2.7,-10.2,8.4
2020-12-23,278,-1.6,-9.1,8.6
2020-12-24,278,2.1,-5,10
2020-12-25,278,-1.7,-7.7,5.1
2020-12-26,278,-2.9,-9.4,6.8
2020-12-27,278,-0.4,-5.5,6.1
2020-12-28,278,0.4,-6.4,12.1
2020-12-29,278,1.1,-6,10.7
2020-12-30,278,-6.6,-9.6,0.8
2020-12-31,278,-7.3,-14.6,-1.1
2021-01-01,278,-5.9,-14.3,0.7
2021-01-02,278,-4.9,-10.1,1.9
2021-01-03,278,-5.7,-12.5,1.9
2021-01-04,278,-5.4,-13.2,3.9
2021-01-05,278,-3.7,-11.2,1.9
2021-01-06,278,-7.8,-16.2,0.5
2021-01-07,278,-11.5,-19.4,-4.5
2021-01-08,278,-14.1,-21.6,-6.4
2021-01-09,278,-12.2,-20.2,-3.6
2021-01-10,278,-9.7,-18.1,0.1
2021-01-11,278,-8,-14.2,-1.7
2021-01-12,278,-6.3,-15.1,3.4
2021-01-13,278,-0.5,-9.2,10.3
2021-01-14,278,0.4,-6.2,11.6
2021-01-15,278,4.3,-5.7,13.9
2021-01-16,278,-0.3,-4.4,5.8
2021-01-17,278,-4.2,-10.7,1.4
2021-01-18,278,-3.4,-9.3,4.7
2021-01-19,278,-7.1,-13.8,1.8
2021-01-20,278,-4.7,-13.5,7.5
2021-01-21,278,2.2,-8.3,12.3
2021-01-22,278,5.8,3.1,10.7
2021-01-23,278,7.3,2.7,11.3
2021-01-24,278,4.9,-1.4,12.1
2021-01-25,278,4.2,-3,14
2021-01-26,278,3,-0.8,6.7
2021-01-27,278,2.5,-2.7,9.4
2021-01-28,278,-1.3,-5.9,8.8
2021-01-29,278,-5.9,-10.1,-0.7
2021-01-30,278,-3.7,-12.4,6.2
2021-01-31,278,0.1,-9.5,12.3
2021-02-01,278,4.5,0.1,9.2
2021-02-02,278,-1.7,-6.6,5.3
2021-02-03,278,-2.7,-9.5,3.8
2021-02-04,278,-1.1,-7.3,5
2021-02-05,278,-1.7,-10,9
2021-02-06,278,0.9,-7.7,13.1
2021-02-07,278,4.4,-3.4,12.9
2021-02-08,278,-1.4,-6.8,4.3
2021-02-09,278,-2.2,-10,7.3
2021-02-10,278,-0.7,-9.1,10
2021-02-11,278,2.2,-6.1,12.2
2021-02-12,278,3.8,-3.6,16.3
2021-02-13,278,3.9,-5.6,17.2
2021-02-14,278,7,-1.7,16.1
2021-02-15,278,4.3,-2.2,9.5
2021-02-16,278,-2.3,-8.2,3.2
2021-02-17,278,-6,-7.4,-3.3
2021-02-18,278,-5.8,-12.4,0.3
2021-02-19,278,-0.7,-11.5,11.2
2021-02-20,278,5,-4.9,17.9
2021-02-21,278,9,-3.3,24.1
2021-02-22,278,9.6,-0.5,21.2
2021-02-23,278,2.1,-5.6,10.6
2021-02-24,278,2.3,-5.1,11.9
2021-02-25,278,3.7,-3.1,9.1
2021-02-26,278,6,0.3,13.5
2021-02-27,278,4.8,-1.3,10.6
2021-02-28,278,5.1,-3.4,11.5
2021-03-01,278,7.1,1.2,14.1
2021-03-02,278,1.8,-2.1,5.4
2021-03-03,278,2.2,-4.2,9.4
2021-03-04,278,4.5,-1.6,11.2
2021-03-05,278,6.6,1.4,17.2
2021-03-06,278,4.7,0.4,9
2021-03-07,278,4.8,1.1,9.6
2021-03-08,278,4.9,-3.1,15
2021-03-09,278,5.9,-1.4,14.9
2021-03-10,278,6.1,-2.9,16.9
2021-03-11,278,8,-2.1,18.8
2021-03-12,278,7.6,5.9,9.3
2021-03-13,278,7.8,1.7,15.6
2021-03-14,278,8.2,1.5,16.5
2021-03-15,278,9.8,-0.2,18.3
2021-03-16,278,12.3,3,18.7
2021-03-17,278,8.3,-1.8,18.8
2021-03-18,278,9.2,1.4,17.4
2021-03-19,278,10,4.2,17.5
2021-03-20,278,7.8,4.3,9.4
2021-03-21,278,7.7,4.4,11.2
2021-03-22,278,6.1,1.1,12.4
2021-03-23,278,8.2,-2.3,18.9
2021-03-24,278,7.9,-1.4,18.1
2021-03-25,278,10.1,-0.7,21.9
2021-03-26,278,12.7,0.9,23.8
2021-03-27,278,11.2,3.4,17.4
2021-03-28,278,11.9,5.6,15
2021-03-29,278,12.6,6.1,18.1
2021-03-30,278,11.7,4,20.7
2021-03-31,278,11.7,-0.4,23.3
2021-04-01,278,11.3,2.8,20
2021-04-02,278,15,7.5,21.4
2021-04-03,278,14.4,10.8,19.1
2021-04-04,278,9.6,4.8,14.2
2021-04-05,278,8,-0.8,18.1
2021-04-06,278,11.1,0.7,21.5
2021-04-07,278,12.1,1.7,23
2021-04-08,278,11.7,2.3,20.4
2021-04-09,278,7.9,1.6,14.4
2021-04-10,278,8.9,-0.9,18.8
2021-04-11,278,11.7,0.9,22.6
2021-04-12,278,11.1,6.4,13.4
2021-04-13,278,13.9,7.1,18.6
