날짜,지점,강수량
2020-11-01,252,6.2
2020-11-02,252,0.4
2020-11-03,252,1.3
2020-11-04,252,
2020-11-05,252,
2020-11-06,252,0
2020-11-07,252,
2020-11-08,252,
2020-11-09,252,
2020-11-10,252,0
2020-11-11,252,
2020-11-12,252,
2020-11-13,252,
2020-11-14,252,
2020-11-15,252,
2020-11-16,252,
2020-11-17,252,2.2
2020-11-18,252,1.4
2020-11-19,252,55.7
2020-11-20,252,
2020-11-21,252,
2020-11-22,252,4.7
2020-11-23,252,
2020-11-24,252,
2020-11-25,252,
2020-11-26,252,
2020-11-27,252,0
2020-11-28,252,0
2020-11-29,252,0
2020-11-30,252,0
2020-12-01,252,
2020-12-02,252,
2020-12-03,252,0
2020-12-04,252,
2020-12-05,252,
2020-12-06,252,
2020-12-07,252,0
2020-12-08,252,
2020-12-09,252,
2020-12-10,252,
2020-12-11,252,
2020-12-12,252,
2020-12-13,252,0.6
2020-12-14,252,
2020-12-15,252,0.1
2020-12-16,252,0.4
2020-12-17,252,0
2020-12-18,252,0.2
2020-12-19,252,0
2020-12-20,252,0.3
2020-12-21,252,
2020-12-22,252,0
2020-12-23,252,
2020-12-24,252,
2020-12-25,252,0.2
2020-12-26,252,
2020-12-27,252,8.1
2020-12-28,252,
2020-12-29,252,1.3
2020-12-30,252,3.7
2020-12-31,252,1.4
2021-01-01,252,0.4
2021-01-02,252,0.7
2021-01-03,252,
2021-01-04,252,0
2021-01-05,252,0.3
2021-01-06,252,1.1
2021-01-07,252,4.5
2021-01-08,252,0.3
2021-01-09,252,0.1
2021-01-10,252,0
2021-01-11,252,0
2021-01-12,252,0.3
2021-01-13,252,
2021-01-14,252,
2021-01-15,252,
2021-01-16,252,0
2021-01-17,252,0.6
2021-01-18,252,3.2
2021-01-19,252,
2021-01-20,252,
2021-01-21,252,7.5
2021-01-22,252,1.9
2021-01-23,252,4.8
2021-01-24,252,0.2
2021-01-25,252,0.1
2021-01-26,252,5.2
2021-01-27,252,
2021-01-28,252,0.9
2021-01-29,252,0.9
2021-01-30,252,
2021-01-31,252,1.4
2021-02-01,252,3.8
2021-02-02,252,
2021-02-03,252,0
2021-02-04,252,1.5
2021-02-05,252,
2021-02-06,252,
2021-02-07,252,
2021-02-08,252,
2021-02-09,252,
2021-02-10,252,
2021-02-11,252,
2021-02-12,252,
2021-02-13,252,
2021-02-14,252,1.9
2021-02-15,252,0.7
2021-02-16,252,1.6
2021-02-17,252,1.8
2021-02-18,252,0.5
2021-02-19,252,
2021-02-20,252,
2021-02-21,252,
2021-02-22,252,
2021-02-23,252,
2021-02-24,252,
2021-02-25,252,17
2021-02-26,252,0.1
2021-02-27,252,
2021-02-28,252,0.5
2021-03-01,252,38.4
2021-03-02,252,
2021-03-03,252,
2021-03-04,252,3.4
2021-03-05,252,
2021-03-06,252,
2021-03-07,252,
2021-03-08,252,
2021-03-09,252,
2021-03-10,252,
2021-03-11,252,2.5
2021-03-12,252,10.4
2021-03-13,252,
2021-03-14,252,
2021-03-15,252,3.4
2021-03-16,252,0.4
2021-03-17,252,
2021-03-18,252,
2021-03-19,252,
2021-03-20,252,9.3
2021-03-21,252,
2021-03-22,252,
2021-03-23,252,
2021-03-24,252,
2021-03-25,252,
2021-03-26,252,
2021-03-27,252,29.2
2021-03-28,252,
2021-03-29,252,
2021-03-30,252,
2021-03-31,252,
2021-04-01,252,
2021-04-02,252,
2021-04-03,252,6
2021-04-04,252,1.6
2021-04-05,252,
2021-04-06,252,
2021-04-07,252,
2021-04-08,252,
2021-04-09,252,
2021-04-10,252,
2021-04-11,252,
2021-04-12,252,26.2
2021-04-13,252,2
2021-04-14,252,
2021-04-15,252,
2021-04-16,252,0.3
2021-04-17,252,
2021-04-18,252,
2021-04-19,252,
2021-04-20,252,0
2021-04-21,252,
2021-04-22,252,0
2021-04-23,252,
2021-04-24,252,
2021-04-25,252,
2021-04-26,252,
2021-04-27,252,
2021-04-28,252,0
2021-04-29,252,0.7
2021-04-30,252,2
2021-05-01,252,7.8
2021-05-02,252,
2021-05-03,252,
2021-05-04,252,20.4
2021-05-05,252,0.5
2021-05-06,252,
2021-05-07,252,
2021-05-08,252,
2021-05-09,252,
2021-05-10,252,0
2021-05-11,252,0.3
2021-05-12,252,
2021-05-13,252,
2021-05-14,252,0
2021-05-15,252,22.1
2021-05-16,252,25.8
2021-05-17,252,1.6
2021-05-18,252,
2021-05-19,252,
2021-05-20,252,3.7
2021-05-21,252,0.1
2021-05-22,252,
2021-05-23,252,0.1
2021-05-24,252,0.6
2021-05-25,252,0
2021-05-26,252,0.1
2021-05-27,252,0
2021-05-28,252,7.4
2021-05-29,252,
2021-05-30,252,0.6
2021-05-31,252,0
2021-06-01,252,
2021-06-02,252,
2021-06-03,252,17.2
2021-06-04,252,0.4
2021-06-05,252,
2021-06-06,252,0
2021-06-07,252,
2021-06-08,252,
2021-06-09,252,
2021-06-10,252,60.3
2021-06-11,252,49.2
2021-06-12,252,0.1
2021-06-13,252,
2021-06-14,252,
2021-06-15,252,18.3
2021-06-16,252,
2021-06-17,252,1.2
2021-06-18,252,6.2
2021-06-19,252,
2021-06-20,252,
2021-06-21,252,
2021-06-22,252,
2021-06-23,252,
2021-06-24,252,
2021-06-25,252,
2021-06-26,252,0.4
2021-06-27,252,
2021-06-28,252,0
2021-06-29,252,
2021-06-30,252,0.1
2021-07-01,252,
2021-07-02,252,
2021-07-03,252,31.8
2021-07-04,252,0.8
2021-07-05,252,28.1
2021-07-06,252,100.4
2021-07-07,252,17.1
2021-07-08,252,1.4
2021-07-09,252,0.2
2021-07-10,252,
2021-07-11,252,
2021-07-12,252,
2021-07-13,252,
2021-07-14,252,
2021-07-15,252,
2021-07-16,252,1.4
