날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,252,12.1,10.6,13.5
2020-11-02,252,11.8,4.9,17.6
2020-11-03,252,9.1,4.5,12.3
2020-11-04,252,6.8,1.3,11.1
2020-11-05,252,9.2,0,16.7
2020-11-06,252,12.5,9.3,15.9
2020-11-07,252,11.8,6.9,19.8
2020-11-08,252,9.4,4.6,14.5
2020-11-09,252,6.9,2.5,12.1
2020-11-10,252,8.4,3.5,13.7
2020-11-11,252,8.3,1.2,16.9
2020-11-12,252,8.8,0.8,18.4
2020-11-13,252,9.5,1,17.7
2020-11-14,252,11,4,19.5
2020-11-15,252,12,5.8,19.6
2020-11-16,252,11.5,4.9,19.7
2020-11-17,252,16.9,10.1,22.1
2020-11-18,252,20.4,16.3,24.3
2020-11-19,252,16.6,11.8,21.7
2020-11-20,252,8.5,6.6,11.8
2020-11-21,252,8.6,1.2,15.4
2020-11-22,252,9,6.4,10.5
2020-11-23,252,5.3,1.2,7.3
2020-11-24,252,5.6,2,10.6
2020-11-25,252,6.3,1.1,13
2020-11-26,252,7.5,3.5,11.8
2020-11-27,252,7,4.4,10.1
2020-11-28,252,4.8,3.4,6.5
2020-11-29,252,4,2.4,6.8
2020-11-30,252,3.6,0.1,8
2020-12-01,252,2.3,-3.3,8.5
2020-12-02,252,3.3,-1.5,9.1
2020-12-03,252,2.9,-0.9,7
2020-12-04,252,1.7,-2.1,6.3
2020-12-05,252,3.1,-1.8,9
2020-12-06,252,3.3,-2.5,10.1
2020-12-07,252,4.2,-2.1,10.3
2020-12-08,252,2.5,-1.8,5.9
2020-12-09,252,2.1,-4.6,8.3
2020-12-10,252,5,1.9,10.6
2020-12-11,252,5.7,1.2,10.3
2020-12-12,252,4.7,-0.9,9.1
2020-12-13,252,3.5,-0.7,11.8
2020-12-14,252,-3.5,-6.1,1
2020-12-15,252,-4.6,-7.5,-0.9
2020-12-16,252,-4,-7,-1
2020-12-17,252,-2.5,-7,2.8
2020-12-18,252,1.3,-4,7.1
2020-12-19,252,-1.6,-5,1.6
2020-12-20,252,-1.4,-5.3,3.2
2020-12-21,252,1,-4.7,7.5
2020-12-22,252,1.4,-2.9,8.1
2020-12-23,252,3.7,-2.4,10.1
2020-12-24,252,4.4,0.6,9.3
2020-12-25,252,1.9,-2.1,6.6
2020-12-26,252,2.9,-2.5,9.9
2020-12-27,252,4.3,1.7,8
2020-12-28,252,4,-1.5,13
2020-12-29,252,2,-0.9,7
2020-12-30,252,-4.6,-8.4,-0.7
2020-12-31,252,-4.7,-9.9,0.6
2021-01-01,252,-0.9,-6,4.7
2021-01-02,252,-1.2,-4.2,1.5
2021-01-03,252,-2.3,-5,1.2
2021-01-04,252,-1.1,-6.8,5.1
2021-01-05,252,-1.1,-5.2,3.4
2021-01-06,252,-3.9,-8.2,0.1
2021-01-07,252,-9.2,-12.6,-1.8
2021-01-08,252,-12.4,-17.4,-8.4
2021-01-09,252,-10.3,-15.2,-3.3
2021-01-10,252,-7,-14.9,-1.5
2021-01-11,252,-4.6,-7.7,-1.8
2021-01-12,252,-1.6,-6.6,2.2
2021-01-13,252,4.2,-1.8,10.1
2021-01-14,252,4.6,-2.1,12
2021-01-15,252,8.3,2.9,14.3
2021-01-16,252,-0.2,-2.1,3
2021-01-17,252,-2.8,-6.2,0.6
2021-01-18,252,0.9,-2.6,6.3
2021-01-19,252,-3.2,-6.9,0.5
2021-01-20,252,2.4,-6.7,11.5
2021-01-21,252,7.6,3.9,10.4
2021-01-22,252,7.4,5.6,9.3
2021-01-23,252,7.6,5.8,9.3
2021-01-24,252,7.3,1.8,13.1
2021-01-25,252,6.6,1.2,14
2021-01-26,252,5.6,4.4,8.6
2021-01-27,252,3.3,-0.2,7.9
2021-01-28,252,-0.1,-4.2,6.6
2021-01-29,252,-4.4,-7.5,-1
2021-01-30,252,1.5,-6.7,9.3
2021-01-31,252,5.4,-3.5,12
2021-02-01,252,8.3,2.6,11
2021-02-02,252,-1.9,-3.8,2.5
2021-02-03,252,0.3,-6.4,4.4
2021-02-04,252,0,-4.5,4.9
2021-02-05,252,1.8,-6,9.1
2021-02-06,252,5.8,-1.5,11.1
2021-02-07,252,4.9,1.3,10.1
2021-02-08,252,-0.2,-1.5,1.6
2021-02-09,252,-0.5,-5.6,5
2021-02-10,252,1.7,-5.6,9.5
2021-02-11,252,3.7,-1.5,11.4
2021-02-12,252,5.5,0.4,14.9
2021-02-13,252,5.3,-2.3,16.2
2021-02-14,252,8.2,2,15.3
2021-02-15,252,3,-0.5,7
2021-02-16,252,-0.1,-4.2,5.4
2021-02-17,252,-4.1,-5.7,-2.1
2021-02-18,252,-1.7,-4.6,0.1
2021-02-19,252,3.8,-3.8,10.5
2021-02-20,252,10.1,5.6,14.1
2021-02-21,252,14,8.3,20.8
2021-02-22,252,8.6,1.8,16.3
2021-02-23,252,1.2,-2.5,4.9
2021-02-24,252,1,-3.3,5.7
2021-02-25,252,2.5,-1.4,4.3
