날짜,지점,강수량
2020-11-01,248,5.5
2020-11-02,248,
2020-11-03,248,0
2020-11-04,248,
2020-11-05,248,
2020-11-06,248,0.2
2020-11-07,248,
2020-11-08,248,
2020-11-09,248,
2020-11-10,248,0
2020-11-11,248,
2020-11-12,248,
2020-11-13,248,
2020-11-14,248,
2020-11-15,248,
2020-11-16,248,
2020-11-17,248,1.6
2020-11-18,248,0.9
2020-11-19,248,63
2020-11-20,248,
2020-11-21,248,
2020-11-22,248,2.2
2020-11-23,248,
2020-11-24,248,
2020-11-25,248,
2020-11-26,248,0
2020-11-27,248,
2020-11-28,248,
2020-11-29,248,
2020-11-30,248,
2020-12-01,248,
2020-12-02,248,
2020-12-03,248,
2020-12-04,248,
2020-12-05,248,
2020-12-06,248,
2020-12-07,248,
2020-12-08,248,
2020-12-09,248,
2020-12-10,248,
2020-12-11,248,
2020-12-12,248,
2020-12-13,248,3.9
2020-12-14,248,
2020-12-15,248,
2020-12-16,248,0
2020-12-17,248,0
2020-12-18,248,0.4
2020-12-19,248,
2020-12-20,248,
2020-12-21,248,0
2020-12-22,248,
2020-12-23,248,
2020-12-24,248,
2020-12-25,248,0
2020-12-26,248,
2020-12-27,248,4.6
2020-12-28,248,
2020-12-29,248,3.3
2020-12-30,248,0.1
2020-12-31,248,1.2
2021-01-01,248,0.1
2021-01-02,248,0.3
2021-01-03,248,
2021-01-04,248,
2021-01-05,248,0.5
2021-01-06,248,2
2021-01-07,248,4.3
2021-01-08,248,
2021-01-09,248,
2021-01-10,248,
2021-01-11,248,
2021-01-12,248,0.1
2021-01-13,248,
2021-01-14,248,
2021-01-15,248,
2021-01-16,248,
2021-01-17,248,0
2021-01-18,248,4.4
2021-01-19,248,
2021-01-20,248,
2021-01-21,248,7.3
2021-01-22,248,5
2021-01-23,248,0.3
2021-01-24,248,
2021-01-25,248,
2021-01-26,248,7.1
2021-01-27,248,
2021-01-28,248,3.7
2021-01-29,248,
2021-01-30,248,0
2021-01-31,248,0.9
2021-02-01,248,21.3
2021-02-02,248,
2021-02-03,248,
2021-02-04,248,3.7
2021-02-05,248,
2021-02-06,248,
2021-02-07,248,
2021-02-08,248,
2021-02-09,248,
2021-02-10,248,
2021-02-11,248,
2021-02-12,248,
2021-02-13,248,
2021-02-14,248,0.3
2021-02-15,248,0.3
2021-02-16,248,1.8
2021-02-17,248,0.6
2021-02-18,248,
2021-02-19,248,
2021-02-20,248,
2021-02-21,248,
2021-02-22,248,
2021-02-23,248,
2021-02-24,248,0
2021-02-25,248,5.5
2021-02-26,248,
2021-02-27,248,
2021-02-28,248,4.6
2021-03-01,248,33.7
2021-03-02,248,0
2021-03-03,248,
2021-03-04,248,9.6
2021-03-05,248,
2021-03-06,248,
2021-03-07,248,
2021-03-08,248,
2021-03-09,248,
2021-03-10,248,
2021-03-11,248,
2021-03-12,248,19.5
2021-03-13,248,
2021-03-14,248,
2021-03-15,248,0.5
2021-03-16,248,6.9
2021-03-17,248,
2021-03-18,248,
2021-03-19,248,
2021-03-20,248,3.5
2021-03-21,248,
2021-03-22,248,
2021-03-23,248,
2021-03-24,248,
2021-03-25,248,
2021-03-26,248,
2021-03-27,248,33.3
2021-03-28,248,2.2
2021-03-29,248,0.1
2021-03-30,248,
2021-03-31,248,
2021-04-01,248,
2021-04-02,248,
2021-04-03,248,24.2
2021-04-04,248,6.8
2021-04-05,248,
2021-04-06,248,
2021-04-07,248,
2021-04-08,248,
2021-04-09,248,0
2021-04-10,248,
2021-04-11,248,
2021-04-12,248,17.5
2021-04-13,248,0.6
2021-04-14,248,
2021-04-15,248,
2021-04-16,248,0.1
2021-04-17,248,0
