날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,248,9.9,4.5,12.2
2020-11-02,248,7.4,0.2,15.2
2020-11-03,248,4.2,-0.6,8.7
2020-11-04,248,2,-3.5,10.2
2020-11-05,248,5.8,-5.2,17.8
2020-11-06,248,10.3,6.2,15.3
2020-11-07,248,10.8,2.2,19.2
2020-11-08,248,7.4,1.2,14.1
2020-11-09,248,4.1,-3.7,10.6
2020-11-10,248,5.2,-1.5,12.2
2020-11-11,248,4.5,-3.5,16.3
2020-11-12,248,5.5,-3,17.9
2020-11-13,248,6.1,-2.5,17
2020-11-14,248,7.4,-1.2,18
2020-11-15,248,8.1,1.6,17.7
2020-11-16,248,9,-0.3,21.2
2020-11-17,248,12.4,5.4,19.3
2020-11-18,248,15.4,7.3,21.5
2020-11-19,248,15.6,9.3,20.2
2020-11-20,248,5,0.5,9.6
2020-11-21,248,6.4,-1.3,13.7
2020-11-22,248,6.5,2.8,8.7
2020-11-23,248,1.8,-2.2,7.1
2020-11-24,248,2.2,-2.2,9.6
2020-11-25,248,2.4,-3.5,10
2020-11-26,248,5,-0.7,12.1
2020-11-27,248,4.2,0.1,6.8
2020-11-28,248,1.2,-0.9,3.8
2020-11-29,248,0.9,-1.1,4.2
2020-11-30,248,0.4,-3.6,5.5
2020-12-01,248,-0.7,-6.3,7.4
2020-12-02,248,-0.2,-5.5,8.3
2020-12-03,248,-0.6,-5.2,5.5
2020-12-04,248,-2.1,-7,5
2020-12-05,248,-1,-6.8,6.5
2020-12-06,248,-0.2,-5.8,8.3
2020-12-07,248,1,-5.3,7.7
2020-12-08,248,-1.7,-6.3,3.8
2020-12-09,248,-1.3,-8.4,8
2020-12-10,248,2.1,-2.1,9.2
2020-12-11,248,2.6,-2.5,8.1
2020-12-12,248,1.7,-4.6,6.9
2020-12-13,248,-0.3,-4.8,6.5
2020-12-14,248,-6.1,-9.5,-2.8
2020-12-15,248,-7,-11.4,-2.2
2020-12-16,248,-6.4,-9.7,-2.4
2020-12-17,248,-6,-11.2,1.1
2020-12-18,248,-2.5,-8.9,3.6
2020-12-19,248,-5.1,-8.8,-0.4
2020-12-20,248,-4.3,-9,2.2
2020-12-21,248,-1.3,-9.3,3.9
2020-12-22,248,-1,-5.7,4.2
2020-12-23,248,-0.2,-5.7,7.1
2020-12-24,248,2.2,-2.6,6.8
2020-12-25,248,-1.9,-6.7,2.5
2020-12-26,248,-1.8,-7.9,5
2020-12-27,248,0.6,-4.3,6
2020-12-28,248,1.7,-2.3,11.4
2020-12-29,248,0.3,-3.6,10.2
2020-12-30,248,-8.7,-10.9,-3.1
2020-12-31,248,-7.4,-13.1,-1.8
2021-01-01,248,-5.8,-13.9,-1.2
2021-01-02,248,-4.9,-10.4,-0.9
2021-01-03,248,-6.1,-11.4,-0.5
2021-01-04,248,-3.5,-11.7,3.7
2021-01-05,248,-2.9,-10.2,2.1
2021-01-06,248,-7.2,-14.2,-2
2021-01-07,248,-13.5,-22,-4.8
2021-01-08,248,-17.2,-24.1,-9.6
2021-01-09,248,-13.7,-22.4,-5.7
2021-01-10,248,-9.9,-18.3,-2.5
2021-01-11,248,-7.3,-12.3,-1.9
2021-01-12,248,-4.5,-13.1,0.7
2021-01-13,248,2.6,-5,7
2021-01-14,248,1.5,-4.6,11.9
2021-01-15,248,5.2,-3.8,11
2021-01-16,248,-3.1,-6.7,1.8
2021-01-17,248,-5,-9,-1.9
2021-01-18,248,-2.8,-6.1,1.6
2021-01-19,248,-7.8,-16.6,0.4
2021-01-20,248,-3.5,-12.8,8.2
2021-01-21,248,3.8,-2.7,10
2021-01-22,248,6.8,3.7,10.1
2021-01-23,248,6.9,4.1,9.5
2021-01-24,248,4.5,-1.4,10.8
2021-01-25,248,4.3,-2,13.3
2021-01-26,248,3.1,0.4,5.2
2021-01-27,248,1.3,-2.1,6.7
2021-01-28,248,-2.2,-8.2,5
2021-01-29,248,-7.7,-10.7,-3.7
2021-01-30,248,-2.4,-11.6,5.2
2021-01-31,248,2.4,-7.4,9.8
2021-02-01,248,6.7,1.7,9.4
2021-02-02,248,-3.7,-6.2,1.7
2021-02-03,248,-2.6,-9.5,1.9
2021-02-04,248,-2.1,-8.2,2.4
2021-02-05,248,-1.7,-10.5,7
2021-02-06,248,1.2,-5.3,9.9
2021-02-07,248,3.6,-1.9,10.5
2021-02-08,248,-3.2,-6,0.5
2021-02-09,248,-2.6,-9.4,5.4
2021-02-10,248,-0.9,-7.9,8.2
2021-02-11,248,2.2,-4.5,11.9
2021-02-12,248,3.8,-2.6,14.9
2021-02-13,248,4.7,-4.2,17.8
2021-02-14,248,8,-0.2,16.1
