날짜,지점,강수량
2020-11-01,177,4.8
2020-11-02,177,0
2020-11-03,177,2.1
2020-11-04,177,
2020-11-05,177,
2020-11-06,177,0
2020-11-07,177,0
2020-11-08,177,
2020-11-09,177,0
2020-11-10,177,
2020-11-11,177,
2020-11-12,177,
2020-11-13,177,
2020-11-14,177,
2020-11-15,177,
2020-11-16,177,
2020-11-17,177,6.2
2020-11-18,177,2.4
2020-11-19,177,23.4
2020-11-20,177,0
2020-11-21,177,0
2020-11-22,177,2.8
2020-11-23,177,
2020-11-24,177,
2020-11-25,177,
2020-11-26,177,
2020-11-27,177,
2020-11-28,177,
2020-11-29,177,0
2020-11-30,177,
2020-12-01,177,
2020-12-02,177,
2020-12-03,177,
2020-12-04,177,
2020-12-05,177,0
2020-12-06,177,
2020-12-07,177,
2020-12-08,177,
2020-12-09,177,
2020-12-10,177,0
2020-12-11,177,
2020-12-12,177,
2020-12-13,177,3.7
2020-12-14,177,0
2020-12-15,177,1.8
2020-12-16,177,0.1
2020-12-17,177,0
2020-12-18,177,0
2020-12-19,177,
2020-12-20,177,0
2020-12-21,177,0
2020-12-22,177,
2020-12-23,177,
2020-12-24,177,
2020-12-25,177,0
2020-12-26,177,0
2020-12-27,177,
2020-12-28,177,0
2020-12-29,177,0
2020-12-30,177,0
2020-12-31,177,0.1
2021-01-01,177,1
2021-01-02,177,
2021-01-03,177,
2021-01-04,177,0.5
2021-01-05,177,0
2021-01-06,177,2
2021-01-07,177,2.9
2021-01-08,177,0.2
2021-01-09,177,0.1
2021-01-10,177,
2021-01-11,177,
2021-01-12,177,0.7
2021-01-13,177,
2021-01-14,177,
2021-01-15,177,
2021-01-16,177,
2021-01-17,177,0.3
2021-01-18,177,0.9
2021-01-19,177,
2021-01-20,177,
2021-01-21,177,13.7
2021-01-22,177,2.3
2021-01-23,177,
2021-01-24,177,
2021-01-25,177,
2021-01-26,177,1.9
2021-01-27,177,
2021-01-28,177,2.1
2021-01-29,177,0
2021-01-30,177,0
2021-01-31,177,
2021-02-01,177,6.3
2021-02-02,177,0.1
2021-02-03,177,4.4
2021-02-04,177,0
2021-02-05,177,
2021-02-06,177,0
2021-02-07,177,
2021-02-08,177,
2021-02-09,177,
2021-02-10,177,
2021-02-11,177,
2021-02-12,177,
2021-02-13,177,
2021-02-14,177,0.1
2021-02-15,177,0
2021-02-16,177,1.6
2021-02-17,177,0
2021-02-18,177,0
2021-02-19,177,
2021-02-20,177,
2021-02-21,177,
2021-02-22,177,
2021-02-23,177,
2021-02-24,177,
2021-02-25,177,
2021-02-26,177,
2021-02-27,177,
2021-02-28,177,
2021-03-01,177,61.4
2021-03-02,177,0
2021-03-03,177,
2021-03-04,177,
2021-03-05,177,
2021-03-06,177,
2021-03-07,177,
2021-03-08,177,
2021-03-09,177,
2021-03-10,177,
2021-03-11,177,
2021-03-12,177,1.3
2021-03-13,177,
2021-03-14,177,
2021-03-15,177,0.7
2021-03-16,177,0.4
