날짜,지점,강수량
2020-11-01,226,6.1
2020-11-02,226,
2020-11-03,226,0.4
2020-11-04,226,
2020-11-05,226,
2020-11-06,226,0.4
2020-11-07,226,
2020-11-08,226,
2020-11-09,226,
2020-11-10,226,
2020-11-11,226,
2020-11-12,226,
2020-11-13,226,
2020-11-14,226,
2020-11-15,226,
2020-11-16,226,
2020-11-17,226,2.2
2020-11-18,226,2.1
2020-11-19,226,22.3
2020-11-20,226,
2020-11-21,226,
2020-11-22,226,3.5
2020-11-23,226,
2020-11-24,226,
2020-11-25,226,
2020-11-26,226,
2020-11-27,226,
2020-11-28,226,
2020-11-29,226,
2020-11-30,226,
2020-12-01,226,
2020-12-02,226,
2020-12-03,226,
2020-12-04,226,
2020-12-05,226,
2020-12-06,226,
2020-12-07,226,
2020-12-08,226,
2020-12-09,226,
2020-12-10,226,
2020-12-11,226,
2020-12-12,226,
2020-12-13,226,2.2
2020-12-14,226,
2020-12-15,226,
2020-12-16,226,
2020-12-17,226,
2020-12-18,226,0.3
2020-12-19,226,
2020-12-20,226,
2020-12-21,226,
2020-12-22,226,
2020-12-23,226,
2020-12-24,226,
2020-12-25,226,
2020-12-26,226,0
2020-12-27,226,
2020-12-28,226,
2020-12-29,226,1.6
2020-12-30,226,1.5
2020-12-31,226,0
2021-01-01,226,1.1
2021-01-02,226,0
2021-01-03,226,
2021-01-04,226,
2021-01-05,226,0.2
2021-01-06,226,1
2021-01-07,226,0.7
2021-01-08,226,
2021-01-09,226,
2021-01-10,226,
2021-01-11,226,
2021-01-12,226,0.4
2021-01-13,226,0
2021-01-14,226,
2021-01-15,226,0
2021-01-16,226,0
2021-01-17,226,0.1
2021-01-18,226,2.3
2021-01-19,226,
2021-01-20,226,
2021-01-21,226,5.6
2021-01-22,226,2.8
2021-01-23,226,
2021-01-24,226,
2021-01-25,226,
2021-01-26,226,3.6
2021-01-27,226,
2021-01-28,226,1.9
2021-01-29,226,0.1
2021-01-30,226,0
2021-01-31,226,
2021-02-01,226,7.1
2021-02-02,226,0.1
2021-02-03,226,0.2
2021-02-04,226,1.3
2021-02-05,226,
2021-02-06,226,
2021-02-07,226,
2021-02-08,226,
2021-02-09,226,
2021-02-10,226,
2021-02-11,226,
2021-02-12,226,
2021-02-13,226,
2021-02-14,226,1.4
2021-02-15,226,1.3
2021-02-16,226,1.6
2021-02-17,226,1.1
2021-02-18,226,
2021-02-19,226,
2021-02-20,226,
2021-02-21,226,
2021-02-22,226,
2021-02-23,226,
2021-02-24,226,
2021-02-25,226,0
2021-02-26,226,
2021-02-27,226,
2021-02-28,226,0
2021-03-01,226,52.5
2021-03-02,226,2.4
2021-03-03,226,
2021-03-04,226,2.9
2021-03-05,226,
2021-03-06,226,
2021-03-07,226,
2021-03-08,226,
2021-03-09,226,
2021-03-10,226,
2021-03-11,226,
2021-03-12,226,11.4
2021-03-13,226,
2021-03-14,226,
2021-03-15,226,0.1
