날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,226,10.5,8.4,12.3
2020-11-02,226,8.5,0.9,16.4
2020-11-03,226,4.5,-1.5,9.6
2020-11-04,226,2.4,-3.3,10.8
2020-11-05,226,5.5,-4.3,16
2020-11-06,226,9.9,6.4,13.7
2020-11-07,226,10.8,3.9,19.1
2020-11-08,226,7.3,2.1,14.7
2020-11-09,226,5,-4.2,11.9
2020-11-10,226,5.3,-1.4,12.9
2020-11-11,226,5.2,-2.5,16.7
2020-11-12,226,5.8,-2.6,17.5
2020-11-13,226,6.7,-1,17.2
2020-11-14,226,8,0.1,17.8
2020-11-15,226,8.6,1.4,18.2
2020-11-16,226,9.4,2.4,18.1
2020-11-17,226,13.7,9.2,19.1
2020-11-18,226,15.5,11.3,19.1
2020-11-19,226,15.2,9.9,21.6
2020-11-20,226,5.8,3.2,10
2020-11-21,226,6.1,-1.8,12
2020-11-22,226,6.7,3.6,8.3
2020-11-23,226,2.3,-2.6,7.4
2020-11-24,226,2.7,-2.5,9.7
2020-11-25,226,2.4,-3.5,10.7
2020-11-26,226,4.5,-1.2,12.5
2020-11-27,226,4.2,1.4,7.9
2020-11-28,226,1.5,-0.5,4.7
2020-11-29,226,0.8,-3.4,3.9
2020-11-30,226,-0.8,-5.5,5.7
2020-12-01,226,-0.7,-7.3,7.8
2020-12-02,226,1.2,-3,8.7
2020-12-03,226,-0.3,-4.6,6.1
2020-12-04,226,-2.1,-7.7,5.1
2020-12-05,226,-1.4,-7.1,4.8
2020-12-06,226,-0.1,-5.4,8.4
2020-12-07,226,1,-4.1,6.7
2020-12-08,226,-1.6,-6.6,5
2020-12-09,226,-0.8,-9,7.4
2020-12-10,226,3.2,-1.2,9.7
2020-12-11,226,2.9,-1.9,10.3
2020-12-12,226,2.1,-4.1,7.5
2020-12-13,226,-2.2,-5.5,3.7
2020-12-14,226,-6,-10.1,-2.6
2020-12-15,226,-6.9,-12.6,-2.1
2020-12-16,226,-7.9,-12.5,-2
2020-12-17,226,-6.7,-13.5,0.4
2020-12-18,226,-2.2,-6.8,3.1
2020-12-19,226,-5.5,-12.2,0
2020-12-20,226,-4.6,-11,2.3
2020-12-21,226,-2.3,-9.2,5.3
2020-12-22,226,-1.3,-7.5,7.1
2020-12-23,226,-0.1,-6.7,7.8
2020-12-24,226,2.3,-2.5,8.6
2020-12-25,226,-1,-6.5,3.9
2020-12-26,226,-2.4,-8.5,5.8
2020-12-27,226,0,-6.2,8.1
2020-12-28,226,1.5,-4,11.6
2020-12-29,226,-0.4,-4.5,7.6
2020-12-30,226,-9,-11.6,-3.3
2020-12-31,226,-10,-17.3,-3.7
2021-01-01,226,-7.1,-14.1,-1.7
2021-01-02,226,-6.3,-12.4,-0.8
2021-01-03,226,-6.6,-12.8,-0.8
2021-01-04,226,-5.2,-13,1.7
