날짜,지점,강수량
2020-11-01,127,2.3
2020-11-02,127,
2020-11-03,127,0.6
2020-11-04,127,
2020-11-05,127,
2020-11-06,127,0
2020-11-07,127,0
2020-11-08,127,
2020-11-09,127,
2020-11-10,127,
2020-11-11,127,
2020-11-12,127,
2020-11-13,127,
2020-11-14,127,
2020-11-15,127,
2020-11-16,127,
2020-11-17,127,0.5
2020-11-18,127,3.4
2020-11-19,127,19.9
2020-11-20,127,0
2020-11-21,127,0
2020-11-22,127,3.3
2020-11-23,127,
2020-11-24,127,
2020-11-25,127,
2020-11-26,127,
2020-11-27,127,
2020-11-28,127,
2020-11-29,127,
2020-11-30,127,
2020-12-01,127,
2020-12-02,127,
2020-12-03,127,
2020-12-04,127,
2020-12-05,127,
2020-12-06,127,
2020-12-07,127,
2020-12-08,127,
2020-12-09,127,
2020-12-10,127,
2020-12-11,127,
2020-12-12,127,0
2020-12-13,127,8.1
2020-12-14,127,
2020-12-15,127,
2020-12-16,127,
2020-12-17,127,
2020-12-18,127,1
2020-12-19,127,
2020-12-20,127,
2020-12-21,127,
2020-12-22,127,0.1
2020-12-23,127,
2020-12-24,127,0
2020-12-25,127,
2020-12-26,127,
2020-12-27,127,
2020-12-28,127,
2020-12-29,127,1.9
2020-12-30,127,0
2020-12-31,127,0
2021-01-01,127,
2021-01-02,127,
2021-01-03,127,
2021-01-04,127,
2021-01-05,127,0.2
2021-01-06,127,0.8
2021-01-07,127,0.7
2021-01-08,127,
2021-01-09,127,
2021-01-10,127,
2021-01-11,127,
2021-01-12,127,0
2021-01-13,127,0
2021-01-14,127,
2021-01-15,127,0
2021-01-16,127,
2021-01-17,127,0.1
2021-01-18,127,3.1
2021-01-19,127,
2021-01-20,127,
2021-01-21,127,4.9
2021-01-22,127,0.1
2021-01-23,127,
2021-01-24,127,
2021-01-25,127,
2021-01-26,127,2.8
2021-01-27,127,
2021-01-28,127,0.9
2021-01-29,127,
2021-01-30,127,0
2021-01-31,127,
2021-02-01,127,7.5
2021-02-02,127,
2021-02-03,127,0.6
2021-02-04,127,1.2
2021-02-05,127,
2021-02-06,127,
2021-02-07,127,
2021-02-08,127,
2021-02-09,127,
2021-02-10,127,
2021-02-11,127,
2021-02-12,127,
2021-02-13,127,
2021-02-14,127,0.2
2021-02-15,127,0.9
2021-02-16,127,1.9
2021-02-17,127,
2021-02-18,127,
2021-02-19,127,
2021-02-20,127,
2021-02-21,127,
2021-02-22,127,
2021-02-23,127,
2021-02-24,127,
2021-02-25,127,
2021-02-26,127,
2021-02-27,127,
2021-02-28,127,
2021-03-01,127,48
2021-03-02,127,1.1
2021-03-03,127,
2021-03-04,127,0.1
2021-03-05,127,
2021-03-06,127,
2021-03-07,127,
2021-03-08,127,
2021-03-09,127,
2021-03-10,127,
2021-03-11,127,
2021-03-12,127,10.6
2021-03-13,127,
2021-03-14,127,
2021-03-15,127,0
2021-03-16,127,0.5
2021-03-17,127,
2021-03-18,127,
2021-03-19,127,
2021-03-20,127,2.7
2021-03-21,127,0
2021-03-22,127,
2021-03-23,127,
2021-03-24,127,
2021-03-25,127,
2021-03-26,127,
2021-03-27,127,15.3
2021-03-28,127,2.2
2021-03-29,127,
2021-03-30,127,
2021-03-31,127,
2021-04-01,127,
2021-04-02,127,
2021-04-03,127,36.4
2021-04-04,127,5.7
2021-04-05,127,
2021-04-06,127,
2021-04-07,127,
2021-04-08,127,
2021-04-09,127,
2021-04-10,127,
2021-04-11,127,
2021-04-12,127,11.8
2021-04-13,127,1.7
2021-04-14,127,
2021-04-15,127,
2021-04-16,127,1.2
2021-04-17,127,0.3
2021-04-18,127,
2021-04-19,127,
2021-04-20,127,
2021-04-21,127,
2021-04-22,127,
2021-04-23,127,0
2021-04-24,127,
2021-04-25,127,
2021-04-26,127,
2021-04-27,127,0
2021-04-28,127,0.3
2021-04-29,127,1.7
2021-04-30,127,4.3
2021-05-01,127,2.3
2021-05-02,127,6
2021-05-03,127,
2021-05-04,127,2.9
2021-05-05,127,2.2
2021-05-06,127,
2021-05-07,127,3.2
2021-05-08,127,
2021-05-09,127,
2021-05-10,127,16.7
2021-05-11,127,0.3
2021-05-12,127,
2021-05-13,127,
2021-05-14,127,
2021-05-15,127,4.2
2021-05-16,127,54.9
2021-05-17,127,10
2021-05-18,127,0.1
2021-05-19,127,
2021-05-20,127,1.2
2021-05-21,127,19.3
2021-05-22,127,
2021-05-23,127,
2021-05-24,127,
2021-05-25,127,3.2
2021-05-26,127,
2021-05-27,127,4.1
2021-05-28,127,20.8
2021-05-29,127,0
2021-05-30,127,4.7
2021-05-31,127,22.3
2021-06-01,127,0
2021-06-02,127,
2021-06-03,127,20.6
2021-06-04,127,2.6
2021-06-05,127,
2021-06-06,127,2
2021-06-07,127,
2021-06-08,127,0.1
2021-06-09,127,
2021-06-10,127,1.6
2021-06-11,127,8.4
2021-06-12,127,
2021-06-13,127,
2021-06-14,127,
2021-06-15,127,0.2
2021-06-16,127,
2021-06-17,127,1
2021-06-18,127,1.7
2021-06-19,127,0
