날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-11-01,127,11.5,10.1,12.6
2020-11-02,127,9.8,3.2,16.3
2020-11-03,127,4.8,-0.9,9.5
2020-11-04,127,2,-4.2,10.3
2020-11-05,127,6,-3.6,15.3
2020-11-06,127,11.2,6.5,16.6
2020-11-07,127,12.4,5.9,18.8
2020-11-08,127,8.1,3.7,14.5
2020-11-09,127,4.4,-3.8,11.1
2020-11-10,127,4.9,-1.5,12.7
2020-11-11,127,5.2,-1.8,15.6
2020-11-12,127,5.9,-1.8,17
2020-11-13,127,6.9,-0.3,16.6
2020-11-14,127,8.6,0.5,18.6
2020-11-15,127,8.8,2.1,17.9
2020-11-16,127,8.4,3.1,17.1
2020-11-17,127,13.2,5.4,21.3
2020-11-18,127,16.4,11.1,20.5
2020-11-19,127,16.2,9.3,23.4
2020-11-20,127,4.9,3.2,9.3
2020-11-21,127,6.7,-0.5,12.5
2020-11-22,127,6.9,3.7,9
2020-11-23,127,1.8,-2.9,6.8
2020-11-24,127,2.1,-3,7.9
2020-11-25,127,2.2,-3.3,9.8
2020-11-26,127,3.4,-1.7,11
2020-11-27,127,3.8,0.5,8.2
2020-11-28,127,0.1,-4.4,4.3
2020-11-29,127,0.3,-4.5,4.2
2020-11-30,127,-1.3,-6,4.8
2020-12-01,127,-1.5,-7.4,5.8
2020-12-02,127,1.1,-3.3,6.3
2020-12-03,127,-0.6,-5,5.8
2020-12-04,127,-2.9,-8,4
2020-12-05,127,-1.3,-7.4,5.4
2020-12-06,127,0.6,-4.4,7.8
2020-12-07,127,1.3,-3.6,6.5
2020-12-08,127,-2.8,-7,4.1
2020-12-09,127,-1.8,-8.7,5.1
2020-12-10,127,2.7,-0.8,8.8
2020-12-11,127,3.1,-1.5,8.9
2020-12-12,127,1.7,-3.8,7
2020-12-13,127,-2.3,-6.2,0.5
2020-12-14,127,-8,-13.7,-4.5
2020-12-15,127,-10.4,-16.3,-3.7
2020-12-16,127,-11.1,-16.8,-3.6
2020-12-17,127,-9.9,-17,-1.8
2020-12-18,127,-3.4,-9.2,2
2020-12-19,127,-8,-13.9,-1
2020-12-20,127,-7.8,-13.9,0.5
2020-12-21,127,-5.6,-12,2.2
2020-12-22,127,-2.8,-9,4.6
2020-12-23,127,0.5,-5.8,7.1
2020-12-24,127,2.4,-1.3,6.8
2020-12-25,127,-2,-6.6,3.2
2020-12-26,127,-0.5,-6.3,6.8
2020-12-27,127,1.3,-3.6,8
2020-12-28,127,3.1,-1.2,11.3
2020-12-29,127,-0.4,-3.5,5.8
2020-12-30,127,-9.3,-12.2,-2.8
2020-12-31,127,-9.7,-16,-5.2
2021-01-01,127,-6,-12.9,-0.5
2021-01-02,127,-6.1,-10.7,-0.5
2021-01-03,127,-6.5,-12.2,-1.1
2021-01-04,127,-5,-12.4,1.5
2021-01-05,127,-4.2,-11.4,-0.9
2021-01-06,127,-8.4,-14.7,-3.2
2021-01-07,127,-13.6,-18.5,-4.6
2021-01-08,127,-14.5,-19.3,-10
2021-01-09,127,-13.5,-19.6,-7.5
2021-01-10,127,-10.7,-17.8,-3.7
2021-01-11,127,-9.7,-14.4,-4.6
2021-01-12,127,-5.1,-14.2,1.5
2021-01-13,127,1.5,-6.5,9
2021-01-14,127,0,-5.2,9
2021-01-15,127,3.6,-4,11.8
2021-01-16,127,-2.9,-6.4,1.7
2021-01-17,127,-6.1,-12.9,-1.3
2021-01-18,127,-3.7,-10.1,1.2
2021-01-19,127,-9.3,-15.9,-1.8
2021-01-20,127,-5.2,-13.2,5.5
2021-01-21,127,1.6,-6.4,6.6
2021-01-22,127,4.7,2.5,7.9
2021-01-23,127,6.2,0.3,12.1
2021-01-24,127,4,-1.7,12.3
2021-01-25,127,3.7,-1.5,13.3
2021-01-26,127,3.9,0.7,6
2021-01-27,127,1.6,-2.1,6.8
2021-01-28,127,-2.8,-8.2,3.6
2021-01-29,127,-8,-11.4,-3.5
2021-01-30,127,-2.9,-10.6,5.8
2021-01-31,127,0.8,-8,10.7
2021-02-01,127,4.9,-0.1,11.1
2021-02-02,127,-4,-6,1.6
2021-02-03,127,-4.1,-11.9,1.2
2021-02-04,127,-3.5,-7.5,0.4
2021-02-05,127,-1.1,-8.2,5.9
2021-02-06,127,3.8,-5.1,11.1
2021-02-07,127,4.8,-0.7,10.1
2021-02-08,127,-2.4,-6.2,1.3
2021-02-09,127,-2.4,-8.7,4.5
2021-02-10,127,-0.4,-6.7,5.9
2021-02-11,127,3.1,-3.5,10.8
2021-02-12,127,3.7,-2.6,13.7
2021-02-13,127,4.1,-4.1,15.1
2021-02-14,127,6.9,-0.3,14.1
2021-02-15,127,1.7,-4,6.8
2021-02-16,127,-5.3,-8.4,-2.5
2021-02-17,127,-8,-10.2,-5
2021-02-18,127,-6.7,-10.9,-1.5
2021-02-19,127,0,-9.9,8.1
2021-02-20,127,7.2,1.3,15.8
2021-02-21,127,10.6,-1.3,22.3
2021-02-22,127,8.5,1.7,17.4
2021-02-23,127,0.5,-5,6.8
2021-02-24,127,2.3,-4,10.9
2021-02-25,127,3.1,-2.8,8.4
2021-02-26,127,6.1,-3.5,15
2021-02-27,127,6.5,0,12.1
2021-02-28,127,7.2,-2.3,14.3
2021-03-01,127,6.1,0.3,13.5
2021-03-02,127,1.3,-1.8,5.6
